time,xloc
98.22351,1849.5
99.03617382352941,1848.3
99.84883764705883,1847.1
100.66150147058823,1846.2
101.47416529411765,1845.3
102.28682911764706,1844.1
103.09949294117648,1842.9
103.91215676470588,1842.0
104.7248205882353,1841.1
105.53748441176471,1839.9
106.35014823529411,1838.7
107.16281205882353,1837.5
107.97547588235294,1836.6
108.78813970588236,1835.7
109.60080352941176,1834.5
110.41346735294118,1833.6
111.22613117647059,1831.8
112.038795,1831.2
112.85145882352941,1830.0
113.66412264705882,1829.1
114.47678647058824,1828.2
115.28945029411764,1827.0
116.10211411764706,1826.1
116.91477794117647,1824.9
117.72744176470587,1824.0
118.54010558823529,1823.1
119.35276941176471,1821.3
120.16543323529412,1820.4
120.97809705882352,1819.5
121.79076088235294,1818.3
122.60342470588235,1817.4
123.41608852941175,1816.5
124.22875235294117,1815.9
125.04141617647059,1815.3
125.85408,1815.0
