,ID,time,xloc,yloc,lane,speed,acceleration,length-smoothed,width-smoothed,type-most-common,ACC,old_xloc,old_yloc
142745,7022,420.3,2902.9300000000003,0.0,-2,0.3755,0.1,3.41,5.18,small-vehicle,No,2902.9300000000003,328.67
142746,7022,420.4,2902.9675500000003,0.01999999999998181,-2,0.3855,-0.0025,3.42,5.19,small-vehicle,No,2902.9675500000003,328.69
142747,7022,420.5,2903.0060999999996,0.029999999999972715,-2,0.38525,-0.0075,3.43,5.2,small-vehicle,No,2903.0060999999996,328.7
142748,7022,420.6,2903.0446250000005,0.03999999999996362,-2,0.3845,-0.0575,3.43,5.22,small-vehicle,No,2903.0446250000005,328.71
142749,7022,420.7,2903.0830749999996,0.05000000000001137,-2,0.37875,-0.1075,3.44,5.23,small-vehicle,No,2903.0830749999996,328.72
142750,7022,420.8,2903.1209500000004,0.060000000000002274,-2,0.368,-0.0575,3.45,5.25,small-vehicle,No,2903.1209500000004,328.73
142751,7022,420.9,2903.1577500000003,0.07999999999998408,-2,0.36225,-0.0025,3.46,5.26,small-vehicle,No,2903.1577500000003,328.75
142752,7022,421.0,2903.193975,0.0999999999999659,-2,0.362,0.0525,3.46,5.28,small-vehicle,No,2903.193975,328.77
142753,7022,421.1,2903.2301749999997,0.1099999999999568,-2,0.36725,0.1075,3.47,5.29,small-vehicle,No,2903.2301749999997,328.78
142754,7022,421.2,2903.2668999999996,0.12999999999999545,-2,0.378,0.2125,3.48,5.31,small-vehicle,No,2903.2668999999996,328.8
142755,7022,421.3,2903.3046999999997,0.15999999999996817,-2,0.39925,0.3125,3.48,5.32,small-vehicle,No,2903.3046999999997,328.83
142756,7022,421.4,2903.3446249999997,0.18000000000000682,-2,0.4305,0.3125,3.49,5.34,small-vehicle,No,2903.3446249999997,328.85
142757,7022,421.5,2903.387675,0.20999999999997954,-2,0.46175,0.3675,3.5,5.36,small-vehicle,No,2903.387675,328.88
142758,7022,421.6,2903.4338500000003,0.2400000000000091,-2,0.4985,0.4175,3.5,5.38,small-vehicle,No,2903.4338500000003,328.91
142759,7022,421.7,2903.4836999999998,0.2699999999999818,-2,0.54025,0.4125,3.51,5.39,small-vehicle,No,2903.4836999999998,328.94
142760,7022,421.8,2903.537725,0.3100000000000023,-2,0.5815,0.41,3.52,5.41,small-vehicle,No,2903.537725,328.98
142761,7022,421.9,2903.595875,0.3499999999999659,-2,0.6225,0.36,3.53,5.43,small-vehicle,No,2903.595875,329.02
142762,7022,422.0,2903.658125,0.38999999999998636,-2,0.6585,0.36,3.53,5.45,small-vehicle,No,2903.658125,329.06
142763,7022,422.1,2903.723975,0.4300000000000068,-2,0.6945,0.46,3.54,5.47,small-vehicle,No,2903.723975,329.1
142764,7022,422.2,2903.793425,0.47999999999996135,-2,0.7405,0.51,3.55,5.49,small-vehicle,No,2903.793425,329.15
142765,7022,422.3,2903.867475,0.5199999999999818,-2,0.7915,0.5125,3.56,5.5,small-vehicle,No,2903.867475,329.19
142766,7022,422.4,2903.9466249999996,0.5699999999999932,-2,0.84275,0.6175,3.57,5.52,small-vehicle,No,2903.9466249999996,329.24
142767,7022,422.5,2904.0308999999997,0.6299999999999955,-2,0.9045,0.7175,3.57,5.54,small-vehicle,No,2904.0308999999997,329.3
142768,7022,422.6,2904.1213500000003,0.6899999999999977,-2,0.97625,0.6625,3.58,5.55,small-vehicle,No,2904.1213500000003,329.36
142769,7022,422.7,2904.218975,0.75,-2,1.0425,0.61,3.59,5.56,small-vehicle,No,2904.218975,329.42
142770,7022,422.8,2904.323225,0.8100000000000023,-2,1.1035,0.6075,3.6,5.57,small-vehicle,No,2904.323225,329.48
142771,7022,422.9,2904.433575,0.8700000000000045,-2,1.16425,0.5525,3.6,5.58,small-vehicle,No,2904.433575,329.54
142772,7022,423.0,2904.55,0.9399999999999977,-2,1.2195,0.4475,3.61,5.59,small-vehicle,No,2904.55,329.61
142773,7022,423.1,2904.67195,1.009999999999991,-2,1.26425,0.395,3.62,5.6,small-vehicle,No,2904.67195,329.68
142774,7022,423.2,2904.7983750000003,1.079999999999984,-2,1.30375,0.3425,3.62,5.61,small-vehicle,No,2904.7983750000003,329.75
142775,7022,423.3,2904.92875,1.1499999999999773,-2,1.338,0.3425,3.63,5.61,small-vehicle,No,2904.92875,329.82
142776,7022,423.4,2905.0625499999996,1.2299999999999613,-2,1.37225,0.345,3.63,5.61,small-vehicle,No,2905.0625499999996,329.9
142777,7022,423.5,2905.199775,1.3100000000000023,-2,1.40675,0.3475,3.63,5.61,small-vehicle,No,2905.199775,329.98
142778,7022,423.6,2905.3404499999997,1.3899999999999864,-2,1.4415,0.4525,3.64,5.61,small-vehicle,No,2905.3404499999997,330.06
142779,7022,423.7,2905.4846,1.4799999999999613,-2,1.48675,0.6075,3.64,5.61,small-vehicle,No,2905.4846,330.15
142780,7022,423.8,2905.633275,1.5699999999999932,-2,1.5475,0.765,3.64,5.61,small-vehicle,No,2905.633275,330.24
142781,7022,423.9,2905.788025,1.669999999999959,-2,1.624,0.875,3.65,5.6,small-vehicle,No,2905.788025,330.34
142782,7022,424.0,2905.950425,1.7699999999999818,-2,1.7115,0.98,3.65,5.6,small-vehicle,No,2905.950425,330.44
142783,7022,424.1,2906.121575,1.8700000000000045,-2,1.8095,1.13,3.65,5.59,small-vehicle,No,2906.121575,330.54
142784,7022,424.2,2906.302525,1.990000000000009,-2,1.9225,1.18,3.65,5.59,small-vehicle,No,2906.302525,330.66
142785,7022,424.3,2906.494775,2.099999999999966,-2,2.0405,1.125,3.66,5.58,small-vehicle,No,2906.494775,330.77
142786,7022,424.4,2906.6988250000004,2.2199999999999704,-2,2.153,1.0675,3.66,5.58,small-vehicle,No,2906.6988250000004,330.89
142787,7022,424.5,2906.9141250000002,2.349999999999966,-2,2.25975,0.96,3.67,5.57,small-vehicle,No,2906.9141250000002,331.02
142788,7022,424.6,2907.1400999999996,2.4699999999999704,-2,2.35575,0.85,3.67,5.56,small-vehicle,No,2907.1400999999996,331.14
142789,7022,424.7,2907.3756750000002,2.599999999999966,-2,2.44075,0.6925,3.68,5.55,small-vehicle,No,2907.3756750000002,331.27
142790,7022,424.8,2907.61975,2.7299999999999613,-2,2.51,0.5875,3.68,5.53,small-vehicle,No,2907.61975,331.4
