Vehicle_ID,xloc
0,1810.88505
0,1811.806425
0,1812.729275
0,1813.653625
0,1814.579475
0,1815.506825
0,1816.43565
0,1817.36595
0,1818.29775
0,1819.23105
3,1810.4045
3,1811.407925
3,1812.4002
3,1813.381325
3,1814.3513
3,1815.31015
3,1816.2579
3,1817.19455
3,1818.120625
3,1819.03615
52,1810.235725
52,1811.0323
52,1811.826425
52,1812.618075
52,1813.407225
52,1814.19335
52,1814.975925
52,1815.75445
52,1816.528925
52,1817.29935
57,1810.57115
57,1811.304725
57,1812.04035
57,1812.778025
57,1813.51775
57,1814.2595
57,1815.003275
57,1815.7491
57,1816.49745
57,1817.248325
61,1810.18265
61,1811.018575
61,1811.851625
61,1812.6818
61,1813.5091
61,1814.333475
61,1815.154925
61,1815.97345
61,1816.7885
61,1817.60005
66,1810.0626
66,1810.5654
66,1811.068775
66,1811.5732
66,1812.078675
66,1812.585225
66,1813.093375
66,1813.603625
66,1814.115975
66,1814.63095
68,1810.3194
68,1810.8275
68,1811.337225
68,1811.848575
68,1812.36155
68,1812.877175
68,1813.395425
68,1813.9163
68,1814.440325
68,1814.967475
69,1810.0626
69,1810.5654
69,1811.068775
69,1811.5732
69,1812.078675
69,1812.585225
69,1813.093375
69,1813.603625
69,1814.115975
69,1814.63095
75,1810.27025
75,1811.008575
75,1811.753575
75,1812.505775
75,1813.266175
75,1814.034775
75,1814.81155
75,1815.596475
75,1816.38955
75,1817.190725
77,1810.011125
77,1810.45505
77,1810.897525
77,1811.338525
77,1811.77805
77,1812.21665
77,1812.655375
77,1813.095775
77,1813.538375
77,1813.9842
82,1810.393375
82,1811.061725
82,1811.725925
82,1812.382875
82,1813.03055
82,1813.66695
82,1814.29055
82,1814.900375
82,1815.496025
82,1816.0781
83,1810.3194
83,1810.8275
83,1811.337225
83,1811.848575
83,1812.36155
83,1812.877175
83,1813.395425
83,1813.9163
83,1814.440325
83,1814.967475
85,1810.23695
85,1811.06515
85,1811.895025
85,1812.724475
85,1813.5514
85,1814.372725
85,1815.1864
85,1815.99195
85,1816.788925
85,1817.5774
91,1810.353
91,1811.24855
91,1812.1387
91,1813.02395
91,1813.9043
91,1814.780275
91,1815.652375
91,1816.5211
91,1817.386975
91,1818.250525
94,1810.393375
94,1811.061725
94,1811.725925
94,1812.382875
94,1813.03055
94,1813.66695
94,1814.29055
94,1814.900375
94,1815.496025
94,1816.0781
103,1810.57115
103,1811.304725
103,1812.04035
103,1812.778025
103,1813.51775
103,1814.2595
103,1815.003275
103,1815.7491
103,1816.49745
103,1817.248325
145,1810.94275
145,1812.108875
145,1813.272375
145,1814.433275
145,1815.59105
145,1816.7452
145,1817.895775
145,1819.043275
145,1820.1877
145,1821.32905
