lane,time,xloc,yloc,muX,muY,sigX,sigY,line_integral
2,191.5,146.41715,5.948182,-0.06676223129034042,2.084810733795166,19.02712059020996,5.64640474319458,0.014100337303843748
2,191.93924050632913,146.797138,6.448894,-0.15066808462142944,4.0611066818237305,9.529280662536621,2.8712708950042725,0.013769904912375633
2,192.37848101265823,147.198514,6.959044,-0.22664615511894226,5.885368824005127,6.3890533447265625,1.900224208831787,0.013474665599456787
2,192.81772151898736,147.607212,7.48813,-0.31282082200050354,7.842716217041016,5.139801025390625,1.4554426670074463,0.010662714696033599
2,193.25696202531645,148.026187,8.037412,-0.4085334837436676,9.82746410369873,4.361633777618408,1.162270188331604,0.007292145986064929
2,193.69620253164558,148.457789,8.599205,-0.5031091570854187,11.797775268554688,3.826314687728882,0.9509475827217102,0.0069688312004295636
2,194.13544303797468,148.906711,9.177296,-0.5932012796401978,13.782506942749023,3.423823595046997,0.7926864624023438,0.006335201674603934
2,194.5746835443038,149.367339,9.767884,-0.6795259118080139,15.829614639282227,3.093609094619751,0.6693492531776428,0.00210168906222995
2,195.0139240506329,149.838446,10.379919,-0.7631913423538208,17.895503997802734,2.801964044570923,0.5701636075973511,5.361222964309816e-05
2,195.45316455696204,150.31573,11.006912,-0.8444361686706543,19.92584228515625,2.532240152359009,0.4893002212047577,1.790497353800159e-05
2,195.89240506329114,150.815164,11.644975,-0.9227057695388794,21.884052276611328,2.2771835327148438,0.42364951968193054,1.7895244939018955e-05
2,196.33164556962026,151.316612,12.294448,-0.9979380369186401,23.76816177368164,2.0486137866973877,0.37255606055259705,1.7895244862113123e-05
2,196.77088607594936,151.832907,12.956553,-1.0701810121536255,25.623931884765625,1.867611050605774,0.3350067734718323,1.7895244862111016e-05
2,197.2101265822785,152.349437,13.622159,-1.1385432481765747,27.502605438232422,1.7360388040542603,0.3070707321166992,1.7895244862109678e-05
2,197.6493670886076,152.874533,14.295816,-1.2027777433395386,29.412517547607422,1.6384211778640747,0.28460001945495605,1.789524486210885e-05
2,198.08860759493672,153.398463,14.968029,-1.2632074356079102,31.349891662597656,1.5602474212646484,0.2652387022972107,1.789524486210833e-05
2,198.52784810126582,153.922497,15.640374,-1.3201344013214111,33.31734085083008,1.493093729019165,0.24794213473796844,1.7895244862108018e-05
2,198.96708860759495,154.443783,16.309193,-1.3738408088684082,35.32394790649414,1.4329510927200317,0.23220574855804443,1.7895244862107828e-05
2,199.40632911392404,154.945375,16.977186,-1.4245511293411255,37.3797607421875,1.3780559301376343,0.21773406863212585,1.7895244862107706e-05
2,199.84556962025317,155.446061,17.635401,-1.4724479913711548,39.49348449707031,1.3276163339614868,0.20433692634105682,1.7895244862107638e-05
2,200.28481012658227,155.930016,18.276977,-1.5177017450332642,41.67152786254883,1.281169056892395,0.1918894201517105,1.7895244862107604e-05
2,200.7240506329114,156.404006,18.908686,-1.5604616403579712,43.91730880737305,1.2382478713989258,0.1803097277879715,1.789524486210757e-05
2,201.1632911392405,156.872019,19.508625,-1.6008377075195312,46.230831146240234,1.1982779502868652,0.16954591870307922,1.7895244862107557e-05
2,201.60253164556963,157.323171,20.098665,-1.638891577720642,48.609073638916016,1.160658836364746,0.15956775844097137,1.7895244862107533e-05
2,202.04177215189873,157.763589,20.660855,-1.6746612787246704,51.04695510864258,1.1248682737350464,0.15035425126552582,1.7895244862107536e-05
2,202.48101265822785,158.201205,21.202111,-1.7081860303878784,53.53843307495117,1.09047269821167,0.14187805354595184,1.7895244862107536e-05
2,202.92025316455695,158.617039,21.728244,-1.7395334243774414,56.077693939208984,1.0570651292800903,0.13409432768821716,1.7895244862107533e-05
2,203.35949367088608,159.027983,22.240153,-1.7688413858413696,58.6607551574707,1.0242160558700562,0.12693995237350464,1.7895244862107536e-05
2,203.79873417721518,159.423253,22.736409,-1.7963451147079468,61.28669738769531,0.9914800524711609,0.12034105509519577,1.7895244862107536e-05
2,204.2379746835443,159.816624,23.221214,-1.8223717212677002,63.95802688598633,0.9584340453147888,0.1142231896519661,1.7895244862107536e-05
2,204.6772151898734,160.187068,23.700293,-1.8472987413406372,66.6776351928711,0.924715518951416,0.10852012038230896,1.7895244862107533e-05
2,205.11645569620254,160.555653,24.169059,-1.8715242147445679,69.44498443603516,0.8900976181030273,0.10318046063184738,1.7895244862107536e-05
2,205.55569620253164,160.918826,24.623519,-1.8954344987869263,72.25965881347656,0.8545908331871033,0.09816945344209671,1.7895244862107536e-05
2,205.99493670886076,161.268752,25.072701,-1.9193047285079956,75.12495422363281,0.81843101978302,0.09346014261245728,1.7895244862107536e-05
2,206.43417721518986,161.617293,25.511441,-1.9431709051132202,78.04619598388672,0.7820025682449341,0.08902803808450699,1.7895244862107536e-05
2,206.873417721519,161.948268,25.94172,-1.966828465461731,81.0284194946289,0.7457859516143799,0.08485030382871628,1.7895244862107533e-05
2,207.3126582278481,162.286492,26.360925,-1.9899076223373413,84.07463836669922,0.710314154624939,0.08090486377477646,1.7895244862107536e-05
2,207.75189873417722,162.610011,26.765028,-2.0119779109954834,87.1844711303711,0.6761170029640198,0.07717285305261612,1.7895244862107536e-05
2,208.19113924050632,162.92686,27.170366,-2.0326452255249023,90.35327911376953,0.6436811685562134,0.07364203035831451,1.7895244862107536e-05
2,208.63037974683544,163.233791,27.557005,-2.051637649536133,93.57210540771484,0.6134160161018372,0.07030795514583588,1.7895244862107536e-05
2,209.06962025316454,163.536155,27.939804,-2.0688633918762207,96.82941436767578,0.5856128334999084,0.06717249751091003,1.7895244862107536e-05
