,before_time,time,xloc,yloc,ID
19749,190.7,0.0,160.6947500000001,-2.230000000000018,69
19750,190.8,0.1,161.35732499999995,-2.280000000000001,69
19751,190.9,0.2,162.0189499999999,-2.3300000000000125,69
19752,191.0,0.3,162.6801250000001,-2.380000000000024,69
19753,191.1,0.4,163.34085000000005,-2.430000000000007,69
19754,191.2,0.5,164.0006249999999,-2.480000000000018,69
19755,191.3,0.6,164.6594500000001,-2.530000000000001,69
19756,191.4,0.7,165.31729999999993,-2.5800000000000125,69
19757,191.5,0.8,165.97417500000006,-2.640000000000015,69
19758,191.6,0.9,166.63059999999996,-2.6899999999999977,69
19759,191.7,1.0,167.28657500000008,-2.75,69
19760,191.8,1.1,167.94207499999993,-2.8000000000000114,69
19761,191.9,1.2,168.59760000000006,-2.8600000000000136,69
19762,192.0,1.3,169.2532000000001,-2.910000000000025,69
19763,192.1,1.4,169.90887500000008,-2.969999999999999,69
19764,192.2,1.5,170.56510000000003,-3.0200000000000102,69
19765,192.3,1.6,171.2224000000001,-3.0800000000000125,69
19766,192.4,1.7,171.88027499999998,-3.140000000000015,69
19767,192.5,1.8,172.539225,-3.200000000000017,69
19768,192.6,1.9,173.19977500000005,-3.25,69
19769,192.7,2.0,173.86192499999993,-3.3100000000000023,69
19770,192.8,2.1,174.52565000000004,-3.3700000000000045,69
19771,192.9,2.2,175.19094999999993,-3.430000000000007,69
19772,193.0,2.3,175.85832499999992,-3.480000000000018,69
19773,193.1,2.4,176.52777500000002,-3.5400000000000205,69
19774,193.2,2.5,177.1993,-3.6000000000000227,69
19775,193.3,2.6,177.87287500000002,-3.660000000000025,69
19776,193.4,2.7,178.5485000000001,-3.719999999999999,69
19777,193.5,2.8,179.226175,-3.7700000000000102,69
19778,193.6,2.9,179.90537500000005,-3.8300000000000125,69
19779,193.7,3.0,180.5861,-3.890000000000015,69
19780,193.8,3.1,181.26884999999993,-3.950000000000017,69
19781,193.9,3.2,181.95360000000005,-4.010000000000019,69
19782,194.0,3.3,182.63985000000002,-4.070000000000022,69
19783,194.1,3.4,183.32760000000007,-4.1200000000000045,69
19784,194.2,3.5,184.01684999999998,-4.180000000000007,69
19785,194.3,3.6,184.70710000000008,-4.240000000000009,69
19786,194.4,3.7,185.39885000000004,-4.300000000000011,69
19787,194.5,3.8,186.09207500000002,-4.360000000000014,69
19788,194.6,3.9,186.78627499999993,-4.420000000000016,69
19789,194.7,4.0,187.48197499999992,-4.469999999999999,69
19790,194.8,4.1,188.179175,-4.530000000000001,69
19791,194.9,4.2,188.87737500000003,-4.590000000000003,69
19792,195.0,4.3,189.57707499999992,-4.650000000000006,69
19793,195.1,4.4,190.27880000000005,-4.700000000000017,69
19794,195.2,4.5,190.98205000000007,-4.760000000000019,69
19795,195.3,4.6,191.68679999999995,-4.820000000000022,69
19796,195.4,4.7,192.39355,-4.8700000000000045,69
19797,195.5,4.8,193.1017999999999,-4.930000000000007,69
19798,195.6,4.9,193.8115499999999,-4.990000000000009,69
19799,195.7,5.0,194.52279999999996,-5.0400000000000205,69
