,before_time,time,xloc,yloc,ID
7209,190.7,0.0,112.0178249999999,-0.660000000000025,52
7210,190.8,0.1,112.96997499999998,-0.6899999999999977,52
7211,190.9,0.2,113.92055000000005,-0.7300000000000182,52
7212,191.0,0.3,114.86905000000002,-0.7700000000000102,52
7213,191.1,0.4,115.814975,-0.8000000000000114,52
7214,191.2,0.5,116.75832500000001,-0.8300000000000125,52
7215,191.3,0.6,117.699075,-0.8700000000000045,52
7216,191.4,0.7,118.63674999999989,-0.9000000000000057,52
7217,191.5,0.8,119.57134999999994,-0.9300000000000068,52
7218,191.6,0.9,120.50285000000008,-0.9699999999999989,52
7219,191.7,1.0,121.43077500000004,-1.0,52
7220,191.8,1.1,122.35512500000004,-1.0300000000000011,52
7221,191.9,1.2,123.27587500000004,-1.0600000000000023,52
7222,192.0,1.3,124.19254999999998,-1.0900000000000034,52
7223,192.1,1.4,125.10567500000002,-1.1300000000000239,52
7224,192.2,1.5,126.0152250000001,-1.160000000000025,52
7225,192.3,1.6,126.9206999999999,-1.1899999999999977,52
7226,192.4,1.7,127.82212499999991,-1.2199999999999989,52
7227,192.5,1.8,128.71949999999993,-1.25,52
7228,192.6,1.9,129.61282499999993,-1.2900000000000205,52
7229,192.7,2.0,130.50212499999998,-1.3200000000000216,52
7230,192.8,2.1,131.38740000000007,-1.3500000000000227,52
7231,192.9,2.2,132.26864999999998,-1.3800000000000239,52
7232,193.0,2.3,133.14640000000009,-1.410000000000025,52
7233,193.1,2.4,134.02064999999993,-1.4399999999999977,52
7234,193.2,2.5,134.89139999999998,-1.4800000000000182,52
7235,193.3,2.6,135.75865,-1.5100000000000193,52
7236,193.4,2.7,136.62239999999997,-1.5400000000000205,52
7237,193.5,2.8,137.48264999999992,-1.5700000000000216,52
7238,193.6,2.9,138.33940000000007,-1.6100000000000136,52
7239,193.7,3.0,139.19315000000006,-1.6400000000000148,52
7240,193.8,3.1,140.04340000000002,-1.670000000000016,52
7241,193.9,3.2,140.89014999999995,-1.710000000000008,52
7242,194.0,3.3,141.73340000000007,-1.740000000000009,52
7243,194.1,3.4,142.57314999999994,-1.7800000000000011,52
7244,194.2,3.5,143.4094,-1.8200000000000216,52
7245,194.3,3.6,144.24215000000004,-1.8500000000000227,52
7246,194.4,3.7,145.07140000000004,-1.8900000000000148,52
7247,194.5,3.8,145.89717500000006,-1.9300000000000068,52
7248,194.6,3.9,146.71997499999998,-1.9699999999999989,52
7249,194.7,4.0,147.5398,-2.0100000000000193,52
7250,194.8,4.1,148.35664999999995,-2.0500000000000114,52
7251,194.9,4.2,149.1710250000001,-2.0900000000000034,52
7252,195.0,4.3,149.98295000000007,-2.140000000000015,52
7253,195.1,4.4,150.7924250000001,-2.180000000000007,52
7254,195.2,4.5,151.5999750000001,-2.219999999999999,52
7255,195.3,4.6,152.40560000000005,-2.2700000000000102,52
7256,195.4,4.7,153.20977500000004,-2.3100000000000023,52
7257,195.5,4.8,154.01250000000005,-2.3600000000000136,52
7258,195.6,4.9,154.8137999999999,-2.410000000000025,52
7259,195.7,5.0,155.61417499999993,-2.450000000000017,52
