,ID,time,xloc,yloc,lane,speed,acceleration,length-smoothed,width-smoothed,type-most-common,ACC,run-index
19345,56,5.0,729.808075,518.05,4,28.4255,0.18,5.69,2.67,small-vehicle,No,1
19346,56,5.1,732.650625,517.06,4,28.44375,0.23,5.69,2.67,small-vehicle,No,1
19347,56,5.2,735.495,516.05,4,28.467,0.29,5.69,2.67,small-vehicle,No,1
19348,56,5.3,738.3417,515.03,4,28.49625,0.34,5.69,2.67,small-vehicle,No,1
19349,56,5.4,741.191325,514.01,4,28.52975,0.39,5.69,2.67,small-vehicle,No,1
19350,56,5.5,744.0443,512.97,4,28.5685,0.39,5.69,2.67,small-vehicle,No,1
19351,56,5.6,746.90115,511.93,4,28.60725,0.36,5.69,2.67,small-vehicle,No,1
19352,56,5.7,749.761875,510.87,4,28.6435,0.36,5.69,2.67,small-vehicle,No,1
19353,56,5.8,752.626225,509.81,4,28.67925,0.33,5.69,2.67,small-vehicle,No,1
19354,56,5.9,755.49415,508.73,4,28.71175,0.31,5.69,2.67,small-vehicle,No,1
19355,56,6.0,758.365325,507.65,4,28.74275,0.3,5.69,2.67,small-vehicle,No,1
19356,56,6.1,761.2396,506.56,4,28.77275,0.28,5.69,2.67,small-vehicle,No,1
19357,56,6.2,764.116875,505.46,4,28.8005,0.22,5.69,2.67,small-vehicle,No,1
19358,56,6.3,766.996925,504.34,4,28.82275,0.2,5.69,2.67,small-vehicle,No,1
19359,56,6.4,769.8792,503.22,4,28.8425,0.17,5.69,2.67,small-vehicle,No,1
19360,56,6.5,772.76345,502.1,4,28.85975,0.14,5.69,2.67,small-vehicle,No,1
19361,56,6.6,775.649425,500.96,4,28.87375,0.17,5.69,2.67,small-vehicle,No,1
19362,56,6.7,778.5368,499.81,4,28.89125,0.17,5.69,2.67,small-vehicle,No,1
19363,56,6.8,781.425925,498.66,4,28.90825,0.15,5.69,2.67,small-vehicle,No,1
19364,56,6.9,784.31675,497.5,4,28.923,0.17,5.69,2.67,small-vehicle,No,1
19365,56,7.0,787.20905,496.33,4,28.94025,0.17,5.69,2.67,small-vehicle,No,1
19366,56,7.1,790.103075,495.15,4,28.9575,0.15,5.69,2.67,small-vehicle,No,1
19367,56,7.2,792.998825,493.97,4,28.97225,0.17,5.69,2.67,small-vehicle,No,1
19368,56,7.3,795.89605,492.78,4,28.9895,0.18,5.69,2.67,small-vehicle,No,1
19369,56,7.4,798.795,491.58,4,29.007,0.15,5.69,2.67,small-vehicle,No,1
19370,56,7.5,801.6957,490.38,4,29.02175,0.17,5.69,2.67,small-vehicle,No,1
19371,56,7.6,804.597875,489.16,4,29.039,0.2,5.69,2.67,small-vehicle,No,1
19372,56,7.7,807.501775,487.95,4,29.059,0.2,5.69,2.67,small-vehicle,No,1
19373,56,7.8,810.407675,486.72,4,29.07925,0.23,5.69,2.67,small-vehicle,No,1
