,ID,time,xloc,yloc,lane,speed,acceleration,length-smoothed,width-smoothed,type-most-common,ACC,run-index
787147,227,20.4,276.5283,213.59,-4,28.596,-0.09,5.86,2.67,small-vehicle,No,18
787148,227,20.5,279.3879,212.88,-4,28.587,0.07,5.86,2.67,small-vehicle,No,18
787149,227,20.6,282.2466,212.18,-4,28.5935,0.17,5.86,2.67,small-vehicle,No,18
787150,227,20.7,285.10595,211.47,-4,28.611,0.33,5.86,2.67,small-vehicle,No,18
787151,227,20.8,287.96705,210.76,-4,28.644,0.43,5.86,2.67,small-vehicle,No,18
787152,227,20.9,290.83145,210.05,-4,28.687,0.43,5.86,2.67,small-vehicle,No,18
787153,227,21.0,293.70015,209.34,-4,28.73,0.37,5.86,2.67,small-vehicle,No,18
787154,227,21.1,296.57315,208.63,-4,28.767,0.32,5.86,2.67,small-vehicle,No,18
787155,227,21.2,299.44985,207.92,-4,28.799,0.26,5.86,2.67,small-vehicle,No,18
787156,227,21.3,302.32975,207.21,-4,28.825,0.15,5.86,2.67,small-vehicle,No,18
787157,227,21.4,305.21225,206.5,-4,28.8405,0.05,5.86,2.67,small-vehicle,No,18
787158,227,21.5,308.0963,205.8,-4,28.845,-0.01,5.86,2.67,small-vehicle,No,18
787159,227,21.6,310.9808,205.09,-4,28.844,0.0,5.86,2.67,small-vehicle,No,18
787160,227,21.7,313.8652,204.38,-4,28.844,-0.01,5.86,2.67,small-vehicle,No,18
787161,227,21.8,316.7496,203.68,-4,28.843,0.0,5.86,2.67,small-vehicle,No,18
787162,227,21.9,319.6339,202.97,-4,28.843,0.05,5.86,2.67,small-vehicle,No,18
787163,227,22.0,322.5182,202.27,-4,28.848,0.1,5.86,2.67,small-vehicle,No,18
787164,227,22.1,325.403,201.56,-4,28.858,0.15,5.86,2.67,small-vehicle,No,18
787165,227,22.2,328.2888,200.86,-4,28.8735,0.21,5.86,2.67,small-vehicle,No,18
787166,227,22.3,331.17615,200.16,-4,28.894,0.21,5.86,2.67,small-vehicle,No,18
787167,227,22.4,334.06555,199.46,-4,28.915,0.31,5.86,2.67,small-vehicle,No,18
787168,227,22.5,336.95705,198.76,-4,28.9465,0.41,5.86,2.67,small-vehicle,No,18
787169,227,22.6,339.8517,198.06,-4,28.9875,0.47,5.86,2.67,small-vehicle,No,18
787170,227,22.7,342.75045,197.36,-4,29.0345,0.57,5.86,2.67,small-vehicle,No,18
787171,227,22.8,345.6539,196.66,-4,29.0915,0.63,5.86,2.67,small-vehicle,No,18
787172,227,22.9,348.56305,195.96,-4,29.1545,0.73,5.86,2.67,small-vehicle,No,18
787173,227,23.0,351.4785,195.26,-4,29.2275,0.82,5.86,2.67,small-vehicle,No,18
787174,227,23.1,354.40125,194.55,-4,29.3095,0.83,5.86,2.67,small-vehicle,No,18
787175,227,23.2,357.3322,193.85,-4,29.3925,0.82,5.86,2.67,small-vehicle,No,18
787176,227,23.3,360.27145,193.14,-4,29.4745,0.82,5.86,2.67,small-vehicle,No,18
787177,227,23.4,363.2189,192.44,-4,29.5565,0.82,5.86,2.67,small-vehicle,No,18
787178,227,23.5,366.17455,191.73,-4,29.6385,0.81,5.86,2.67,small-vehicle,No,18
787179,227,23.6,369.1384,191.02,-4,29.7195,0.76,5.86,2.67,small-vehicle,No,18
787180,227,23.7,372.11035,190.31,-4,29.7955,0.65,5.86,2.67,small-vehicle,No,18
787181,227,23.8,375.0899,189.6,-4,29.8605,0.6,5.86,2.67,small-vehicle,No,18
787182,227,23.9,378.07595,188.89,-4,29.921,0.55,5.86,2.67,small-vehicle,No,18
787183,227,24.0,381.06805,188.18,-4,29.9755,0.44,5.86,2.67,small-vehicle,No,18
787184,227,24.1,384.0656,187.46,-4,30.0195,0.39,5.86,2.67,small-vehicle,No,18
787185,227,24.2,387.06755,186.75,-4,30.0585,0.28,5.86,2.67,small-vehicle,No,18
787186,227,24.3,390.0734,186.04,-4,30.0865,0.18,5.86,2.67,small-vehicle,No,18
787187,227,24.4,393.08205,185.33,-4,30.1045,0.13,5.86,2.67,small-vehicle,No,18
787188,227,24.5,396.0925,184.61,-4,30.1175,0.13,5.86,2.67,small-vehicle,No,18
787189,227,24.6,399.10425,183.9,-4,30.1305,0.24,5.86,2.67,small-vehicle,No,18
787190,227,24.7,402.1173,183.18,-4,30.1545,0.3,5.86,2.67,small-vehicle,No,18
787191,227,24.8,405.13275,182.47,-4,30.184,0.4,5.86,2.67,small-vehicle,No,18
787192,227,24.9,408.15115,181.76,-4,30.224,0.51,5.86,2.67,small-vehicle,No,18
787193,227,25.0,411.17355,181.04,-4,30.275,0.56,5.86,2.67,small-vehicle,No,18
787194,227,25.1,414.20105,180.33,-4,30.3305,0.56,5.86,2.67,small-vehicle,No,18
787195,227,25.2,417.2341,179.61,-4,30.3865,0.45,5.86,2.67,small-vehicle,No,18
787196,227,25.3,420.27275,178.9,-4,30.4315,0.45,5.86,2.67,small-vehicle,No,18
787197,227,25.4,423.3159,178.19,-4,30.477,0.4,5.86,2.67,small-vehicle,No,18
787198,227,25.5,426.3636,177.47,-4,30.517,0.34,5.86,2.67,small-vehicle,No,18
787199,227,25.6,429.4153,176.76,-4,30.551,0.29,5.86,2.67,small-vehicle,No,18
787200,227,25.7,432.4704,176.05,-4,30.5805,0.24,5.86,2.67,small-vehicle,No,18
787201,227,25.8,435.52845,175.35,-4,30.6045,0.24,5.86,2.67,small-vehicle,No,18
787202,227,25.9,438.5889,174.64,-4,30.6285,0.09,5.86,2.67,small-vehicle,No,18
787203,227,26.0,441.65175,173.94,-4,30.637,-0.02,5.86,2.67,small-vehicle,No,18
787204,227,26.1,444.71545,173.24,-4,30.635,-0.08,5.86,2.67,small-vehicle,No,18
787205,227,26.2,447.77895,172.54,-4,30.6275,-0.28,5.86,2.67,small-vehicle,No,18
787206,227,26.3,450.8417,171.85,-4,30.599,-0.49,5.86,2.67,small-vehicle,No,18
787207,227,26.4,453.9016,171.16,-4,30.5505,-0.59,5.86,2.67,small-vehicle,No,18
787208,227,26.5,456.95665,170.47,-4,30.4915,-0.69,5.86,2.67,small-vehicle,No,18
787209,227,26.6,460.0058,169.79,-4,30.422,-0.74,5.86,2.67,small-vehicle,No,18
787210,227,26.7,463.048,169.11,-4,30.348,-0.84,5.86,2.67,small-vehicle,No,18
787211,227,26.8,466.0828,168.44,-4,30.264,-0.94,5.86,2.67,small-vehicle,No,18
787212,227,26.9,469.1092,167.77,-4,30.17,-0.94,5.86,2.67,small-vehicle,No,18
787213,227,27.0,472.1262,167.11,-4,30.076,-0.98,5.86,2.67,small-vehicle,No,18
787214,227,27.1,475.1338,166.46,-4,29.9775,-0.98,5.86,2.67,small-vehicle,No,18
787215,227,27.2,478.13155,165.81,-4,29.8795,-0.98,5.86,2.67,small-vehicle,No,18
787216,227,27.3,481.1195,165.17,-4,29.7815,-1.03,5.86,2.67,small-vehicle,No,18
787217,227,27.4,484.09765,164.54,-4,29.679,-0.97,5.86,2.67,small-vehicle,No,18
787218,227,27.5,487.06555,163.91,-4,29.582,-0.97,5.86,2.67,small-vehicle,No,18
787219,227,27.6,490.02375,163.29,-4,29.485,-0.97,5.86,2.67,small-vehicle,No,18
787220,227,27.7,492.97225,162.68,-4,29.3885,-0.86,5.86,2.67,small-vehicle,No,18
787221,227,27.8,495.9111,162.07,-4,29.3025,-0.8,5.86,2.67,small-vehicle,No,18
787222,227,27.9,498.84135,161.48,-4,29.2225,-0.75,5.86,2.67,small-vehicle,No,18
787223,227,28.0,501.7636,160.89,-4,29.1475,-0.65,5.86,2.67,small-vehicle,No,18
787224,227,28.1,504.67835,160.31,-4,29.0825,-0.64,5.86,2.67,small-vehicle,No,18
787225,227,28.2,507.5866,159.74,-4,29.0185,-0.7,5.86,2.67,small-vehicle,No,18
787226,227,28.3,510.48845,159.17,-4,28.9485,-0.76,5.86,2.67,small-vehicle,No,18
787227,227,28.4,513.3833,158.62,-4,28.873,-0.85,5.86,2.67,small-vehicle,No,18
787228,227,28.5,516.2706,158.07,-4,28.788,-0.91,5.86,2.67,small-vehicle,No,18
787229,227,28.6,519.1494,157.54,-4,28.697,-0.96,5.86,2.67,small-vehicle,No,18
787230,227,28.7,522.0191,157.01,-4,28.601,-1.01,5.86,2.67,small-vehicle,No,18
787231,227,28.8,524.8792,156.49,-4,28.4995,-1.01,5.86,2.67,small-vehicle,No,18
787232,227,28.9,527.72915,155.98,-4,28.3985,-1.01,5.86,2.67,small-vehicle,No,18
787233,227,29.0,530.569,155.48,-4,28.2975,-1.01,5.86,2.67,small-vehicle,No,18
787234,227,29.1,533.39875,154.99,-4,28.1965,-1.01,5.86,2.67,small-vehicle,No,18
787235,227,29.2,536.2184,154.51,-4,28.0955,-1.06,5.86,2.67,small-vehicle,No,18
787236,227,29.3,539.02795,154.04,-4,27.9895,-1.06,5.86,2.67,small-vehicle,No,18
787237,227,29.4,541.8269,153.58,-4,27.884,-1.0,5.86,2.67,small-vehicle,No,18
787238,227,29.5,544.6153,153.13,-4,27.7835,-0.9,5.86,2.67,small-vehicle,No,18
787239,227,29.6,547.39365,152.68,-4,27.693,-0.79,5.86,2.67,small-vehicle,No,18
787240,227,29.7,550.16295,152.25,-4,27.614,-0.74,5.86,2.67,small-vehicle,No,18
787241,227,29.8,552.92435,151.83,-4,27.54,-0.64,5.86,2.67,small-vehicle,No,18
787242,227,29.9,555.67835,151.41,-4,27.4765,-0.58,5.86,2.67,small-vehicle,No,18
787243,227,30.0,558.426,151.01,-4,27.4185,-0.53,5.86,2.67,small-vehicle,No,18
787244,227,30.1,561.16785,150.62,-4,27.3655,-0.43,5.86,2.67,small-vehicle,No,18
787245,227,30.2,563.9044,150.23,-4,27.3225,-0.38,5.86,2.67,small-vehicle,No,18
787246,227,30.3,566.63665,149.86,-4,27.2845,-0.33,5.86,2.67,small-vehicle,No,18
787247,227,30.4,569.3651,149.49,-4,27.252,-0.28,5.86,2.67,small-vehicle,No,18
787248,227,30.5,572.0903,149.14,-4,27.224,-0.22,5.86,2.67,small-vehicle,No,18
787249,227,30.6,574.8127,148.79,-4,27.202,-0.13,5.86,2.67,small-vehicle,No,18
787250,227,30.7,577.5329,148.45,-4,27.1895,-0.08,5.86,2.67,small-vehicle,No,18
787251,227,30.8,580.25185,148.13,-4,27.1815,-0.02,5.86,2.67,small-vehicle,No,18
787252,227,30.9,582.97,147.81,-4,27.1795,0.03,5.86,2.67,small-vehicle,No,18
787253,227,31.0,585.68795,147.5,-4,27.182,0.08,5.86,2.67,small-vehicle,No,18
787254,227,31.1,588.40615,147.2,-4,27.1895,0.12,5.86,2.67,small-vehicle,No,18
787255,227,31.2,591.1251,146.91,-4,27.202,0.12,5.86,2.67,small-vehicle,No,18
787256,227,31.3,593.8453,146.63,-4,27.214,0.06,5.86,2.67,small-vehicle,No,18
787257,227,31.4,596.5667,146.36,-4,27.2205,0.02,5.86,2.67,small-vehicle,No,18
787258,227,31.5,599.28875,146.1,-4,27.222,-0.04,5.86,2.67,small-vehicle,No,18
787259,227,31.6,602.01095,145.84,-4,27.218,-0.1,5.86,2.67,small-vehicle,No,18
787260,227,31.7,604.73275,145.6,-4,27.208,-0.1,5.86,2.67,small-vehicle,No,18
