time,adjusted_time,xloc
286.9,0.0,1800.0
287.0,0.1,1800.6331
287.1,0.2,1801.2662
287.20000000000005,0.30000000000000004,1801.8993
287.30000000000007,0.4,1802.5324
287.4000000000001,0.5,1803.1655
287.5000000000001,0.6000000000000001,1803.7986
287.60000000000014,0.7000000000000001,1804.4317
287.70000000000016,0.8,1805.0648
287.8000000000002,0.9,1805.6979
287.9000000000002,1.0,1806.331
288.0000000000002,1.1,1806.9641
288.10000000000025,1.2000000000000002,1807.5972
288.2000000000003,1.3,1808.2303
288.3000000000003,1.4000000000000001,1808.8634
288.4000000000003,1.5,1809.4965
288.50000000000034,1.6,1810.1296
288.60000000000036,1.7000000000000002,1810.7627
288.7000000000004,1.8,1811.3958
288.8000000000004,1.9000000000000001,1812.0289
288.90000000000043,2.0,1812.662
289.00000000000045,2.1,1813.2951
289.1000000000005,2.2,1813.9282
289.2000000000005,2.3000000000000003,1814.5613
289.3000000000005,2.4000000000000004,1815.1944
289.40000000000055,2.5,1815.8275
289.50000000000057,2.6,1816.4605999999999
289.6000000000006,2.7,1817.0937
289.7000000000006,2.8000000000000003,1817.7268
289.80000000000064,2.9000000000000004,1818.3599
289.90000000000066,3.0,1818.993
290.0000000000007,3.1,1819.6261
290.1000000000007,3.2,1820.2592
290.2000000000007,3.3000000000000003,1820.8923
290.30000000000075,3.4000000000000004,1821.5254
290.4000000000008,3.5,1822.1585
290.5000000000008,3.6,1822.7916
290.6000000000008,3.7,1823.4247
290.70000000000084,3.8000000000000003,1824.0578
290.80000000000086,3.9000000000000004,1824.6909
290.9000000000009,4.0,1825.324
291.0000000000009,4.1000000000000005,1825.9571
291.10000000000093,4.2,1826.5902
291.20000000000095,4.3,1827.2233
291.300000000001,4.4,1827.8564
291.400000000001,4.5,1828.4895
291.500000000001,4.6000000000000005,1829.1226
291.60000000000105,4.7,1829.7557
291.70000000000107,4.800000000000001,1830.3888
291.8000000000011,4.9,1831.0219
