,ID,time,xloc,yloc,lane,speed,acceleration,length-smoothed,width-smoothed,type-most-common,ACC,adjusted_time
2175,0,223.5,2064.320125,148.15,-2,7.26975,-0.2975,3.04,5.57,small-vehicle,No,0.0
2176,0,223.6,2065.0471,148.08,-2,7.24,-0.2475,3.05,5.56,small-vehicle,No,0.1
2177,0,223.7,2065.7711,148.02,-2,7.21525,-0.2475,3.05,5.56,small-vehicle,No,0.2
2178,0,223.8,2066.492625,147.95,-2,7.1905,-0.2475,3.05,5.56,small-vehicle,No,0.3
2179,0,223.9,2067.211675,147.88,-2,7.16575,-0.2475,3.06,5.55,small-vehicle,No,0.4
2180,0,224.0,2067.92825,147.82,-2,7.141,-0.2475,3.06,5.55,small-vehicle,No,0.5
2181,0,224.1,2068.64235,147.75,-2,7.11625,-0.2475,3.07,5.55,small-vehicle,No,0.6
2182,0,224.2,2069.353975,147.69,-2,7.0915,-0.2475,3.07,5.55,small-vehicle,No,0.7
2183,0,224.3,2070.063125,147.62,-2,7.06675,-0.1975,3.08,5.54,small-vehicle,No,0.8
2184,0,224.4,2070.7698,147.56,-2,7.047,-0.1975,3.08,5.54,small-vehicle,No,0.9
2185,0,224.5,2071.4745,147.5,-2,7.02725,-0.145,3.09,5.54,small-vehicle,No,1.0
2186,0,224.6,2072.177225,147.43,-2,7.01275,-0.145,3.09,5.54,small-vehicle,No,1.1
2187,0,224.7,2072.8785,147.37,-2,6.99825,-0.1425,3.1,5.54,small-vehicle,No,1.2
2188,0,224.8,2073.578325,147.31,-2,6.984,-0.0925,3.1,5.54,small-vehicle,No,1.3
2189,0,224.9,2074.276725,147.25,-2,6.97475,-0.095,3.11,5.54,small-vehicle,No,1.4
2190,0,225.0,2074.9742,147.18,-2,6.96525,-0.0925,3.12,5.54,small-vehicle,No,1.5
2191,0,225.1,2075.670725,147.12,-2,6.956,-0.0425,3.12,5.55,small-vehicle,No,1.6
2192,0,225.2,2076.366325,147.06,-2,6.95175,0.0075,3.13,5.55,small-vehicle,No,1.7
2193,0,225.3,2077.0615,147.0,-2,6.9525,0.01,3.13,5.55,small-vehicle,No,1.8
2194,0,225.4,2077.75675,146.93,-2,6.9535,0.01,3.14,5.55,small-vehicle,No,1.9
2195,0,225.5,2078.4521,146.87,-2,6.9545,0.06,3.15,5.55,small-vehicle,No,2.0
2196,0,225.6,2079.14755,146.81,-2,6.9605,0.11,3.15,5.56,small-vehicle,No,2.1
2197,0,225.7,2079.8436,146.74,-2,6.9715,0.11,3.16,5.56,small-vehicle,No,2.2
2198,0,225.8,2080.54075,146.68,-2,6.9825,0.11,3.16,5.56,small-vehicle,No,2.3
2199,0,225.9,2081.239,146.62,-2,6.9935,0.11,3.17,5.56,small-vehicle,No,2.4
2200,0,226.0,2081.93835,146.55,-2,7.0045,0.16,3.18,5.56,small-vehicle,No,2.5
2201,0,226.1,2082.6388,146.49,-2,7.0205,0.21,3.18,5.56,small-vehicle,No,2.6
2202,0,226.2,2083.34085,146.43,-2,7.0415,0.21,3.19,5.57,small-vehicle,No,2.7
2203,0,226.3,2084.045,146.37,-2,7.0625,0.21,3.19,5.57,small-vehicle,No,2.8
2204,0,226.4,2084.75125,146.3,-2,7.0835,0.21,3.2,5.57,small-vehicle,No,2.9
2205,0,226.5,2085.4596,146.24,-2,7.1045,0.26,3.2,5.57,small-vehicle,No,3.0
2206,0,226.6,2086.17005,146.18,-2,7.1305,0.31,3.21,5.57,small-vehicle,No,3.1
2207,0,226.7,2086.8831,146.12,-2,7.1615,0.26,3.21,5.57,small-vehicle,No,3.2
2208,0,226.8,2087.59925,146.05,-2,7.1875,0.2575,3.21,5.56,small-vehicle,No,3.3
2209,0,226.9,2088.318,145.99,-2,7.21325,0.305,3.22,5.56,small-vehicle,No,3.4
2210,0,227.0,2089.039325,145.93,-2,7.24375,0.255,3.22,5.56,small-vehicle,No,3.5
2211,0,227.1,2089.7637,145.87,-2,7.26925,0.255,3.22,5.56,small-vehicle,No,3.6
2212,0,227.2,2090.490625,145.81,-2,7.29475,0.2525,3.22,5.56,small-vehicle,No,3.7
2213,0,227.3,2091.2201,145.75,-2,7.32,0.2525,3.22,5.55,small-vehicle,No,3.8
2214,0,227.4,2091.9521,145.69,-2,7.34525,0.2525,3.23,5.55,small-vehicle,No,3.9
2215,0,227.5,2092.686625,145.63,-2,7.3705,0.2,3.23,5.55,small-vehicle,No,4.0
2216,0,227.6,2093.423675,145.56,-2,7.3905,0.2,3.23,5.54,small-vehicle,No,4.1
2217,0,227.7,2094.162725,145.5,-2,7.4105,0.2525,3.23,5.54,small-vehicle,No,4.2
2218,0,227.8,2094.903775,145.44,-2,7.43575,0.2525,3.23,5.54,small-vehicle,No,4.3
2219,0,227.9,2095.64735,145.38,-2,7.461,0.25,3.23,5.53,small-vehicle,No,4.4
2220,0,228.0,2096.39345,145.32,-2,7.486,0.2525,3.23,5.52,small-vehicle,No,4.5
2221,0,228.1,2097.14205,145.26,-2,7.51125,0.2525,3.23,5.52,small-vehicle,No,4.6
2222,0,228.2,2097.893175,145.2,-2,7.5365,0.2525,3.22,5.51,small-vehicle,No,4.7
2223,0,228.3,2098.646825,145.14,-2,7.56175,0.2525,3.22,5.51,small-vehicle,No,4.8
2224,0,228.4,2099.403,145.07,-2,7.587,0.3,3.22,5.5,small-vehicle,No,4.9
2225,0,228.5,2100.1617,145.01,-2,7.617,0.3025,3.22,5.5,small-vehicle,No,5.0
4762,3,223.5,2083.523625,146.23,-2,7.15425,0.105,3.11,5.88,small-vehicle,No,0.0
4763,3,223.6,2084.23905,146.17,-2,7.16475,0.105,3.11,5.87,small-vehicle,No,0.1
4764,3,223.7,2084.955525,146.11,-2,7.17525,0.105,3.11,5.86,small-vehicle,No,0.2
4765,3,223.8,2085.67305,146.05,-2,7.18575,0.1075,3.11,5.86,small-vehicle,No,0.3
4766,3,223.9,2086.391625,145.99,-2,7.1965,0.1075,3.11,5.85,small-vehicle,No,0.4
4767,3,224.0,2087.111275,145.93,-2,7.20725,0.155,3.11,5.85,small-vehicle,No,0.5
4768,3,224.1,2087.832,145.87,-2,7.22275,0.155,3.11,5.85,small-vehicle,No,0.6
4769,3,224.2,2088.554275,145.8,-2,7.23825,0.1575,3.11,5.84,small-vehicle,No,0.7
4770,3,224.3,2089.2781,145.74,-2,7.254,0.2075,3.11,5.84,small-vehicle,No,0.8
4771,3,224.4,2090.0035,145.68,-2,7.27475,0.205,3.11,5.84,small-vehicle,No,0.9
4772,3,224.5,2090.730975,145.61,-2,7.29525,0.205,3.11,5.83,small-vehicle,No,1.0
4773,3,224.6,2091.4605,145.55,-2,7.31575,0.1525,3.11,5.83,small-vehicle,No,1.1
4774,3,224.7,2092.192075,145.49,-2,7.331,0.1525,3.11,5.83,small-vehicle,No,1.2
4775,3,224.8,2092.925175,145.42,-2,7.34625,0.1525,3.11,5.83,small-vehicle,No,1.3
4776,3,224.9,2093.6598,145.36,-2,7.3615,0.1525,3.11,5.83,small-vehicle,No,1.4
4777,3,225.0,2094.39595,145.3,-2,7.37675,0.2025,3.1,5.82,small-vehicle,No,1.5
4778,3,225.1,2095.133625,145.23,-2,7.397,0.15,3.1,5.82,small-vehicle,No,1.6
4779,3,225.2,2095.873325,145.17,-2,7.412,0.1,3.1,5.82,small-vehicle,No,1.7
4780,3,225.3,2096.614525,145.11,-2,7.422,0.15,3.1,5.82,small-vehicle,No,1.8
4781,3,225.4,2097.356725,145.04,-2,7.437,0.15,3.1,5.82,small-vehicle,No,1.9
4782,3,225.5,2098.100425,144.98,-2,7.452,0.1,3.1,5.82,small-vehicle,No,2.0
4783,3,225.6,2098.845625,144.92,-2,7.462,0.15,3.1,5.81,small-vehicle,No,2.1
4784,3,225.7,2099.591825,144.85,-2,7.477,0.1475,3.1,5.82,small-vehicle,No,2.2
4785,3,225.8,2100.339525,144.79,-2,7.49175,0.0975,3.1,5.82,small-vehicle,No,2.3
4786,3,225.9,2101.0887,144.73,-2,7.5015,0.1,3.09,5.82,small-vehicle,No,2.4
4787,3,226.0,2101.83885,144.66,-2,7.5115,0.1,3.09,5.82,small-vehicle,No,2.5
4788,3,226.1,2102.59,144.6,-2,7.5215,0.15,3.09,5.82,small-vehicle,No,2.6
4789,3,226.2,2103.34215,144.54,-2,7.5365,0.15,3.09,5.82,small-vehicle,No,2.7
4790,3,226.3,2104.0958,144.47,-2,7.5515,0.1,3.09,5.82,small-vehicle,No,2.8
4791,3,226.4,2104.85095,144.41,-2,7.5615,0.15,3.09,5.82,small-vehicle,No,2.9
4792,3,226.5,2105.6071,144.35,-2,7.5765,0.15,3.08,5.83,small-vehicle,No,3.0
4793,3,226.6,2106.36475,144.28,-2,7.5915,0.1,3.08,5.83,small-vehicle,No,3.1
