,ID,time,xloc,yloc,lane,speed,acceleration,length-smoothed,width-smoothed,type-most-common,ACC,adjusted_time
123749,2972,205.9,1344.335575,158.93,-2,2.19325,0.155,3.02,6.68,small-vehicle,No,0.0
123750,2972,206.0,1344.5549,158.92,-2,2.20875,0.155,3.02,6.68,small-vehicle,No,0.1
123751,2972,206.1,1344.775775,158.91,-2,2.22425,0.155,3.02,6.68,small-vehicle,No,0.2
123752,2972,206.2,1344.9982,158.91,-2,2.23975,0.1525,3.02,6.68,small-vehicle,No,0.3
123753,2972,206.3,1345.222175,158.9,-2,2.255,0.1525,3.02,6.69,small-vehicle,No,0.4
123754,2972,206.4,1345.447675,158.89,-2,2.27025,0.1025,3.02,6.69,small-vehicle,No,0.5
123755,2972,206.5,1345.6747,158.88,-2,2.2805,0.15,3.02,6.69,small-vehicle,No,0.6
123756,2972,206.6,1345.90275,158.88,-2,2.2955,0.1525,3.02,6.7,small-vehicle,No,0.7
123757,2972,206.7,1346.1323,158.87,-2,2.31075,0.1025,3.02,6.7,small-vehicle,No,0.8
123758,2972,206.8,1346.363375,158.86,-2,2.321,0.15,3.02,6.7,small-vehicle,No,0.9
123759,2972,206.9,1346.595475,158.85,-2,2.336,0.15,3.02,6.7,small-vehicle,No,1.0
123760,2972,207.0,1346.829075,158.85,-2,2.351,0.1525,3.02,6.7,small-vehicle,No,1.1
123761,2972,207.1,1347.064175,158.84,-2,2.36625,0.2025,3.02,6.71,small-vehicle,No,1.2
123762,2972,207.2,1347.3008,158.83,-2,2.3865,0.1525,3.02,6.71,small-vehicle,No,1.3
123763,2972,207.3,1347.53945,158.82,-2,2.40175,0.155,3.02,6.71,small-vehicle,No,1.4
123764,2972,207.4,1347.779625,158.82,-2,2.41725,0.255,3.02,6.71,small-vehicle,No,1.5
123765,2972,207.5,1348.02135,158.81,-2,2.44275,0.2525,3.02,6.71,small-vehicle,No,1.6
123766,2972,207.6,1348.265625,158.8,-2,2.468,0.2025,3.02,6.71,small-vehicle,No,1.7
123767,2972,207.7,1348.512425,158.8,-2,2.48825,0.205,3.02,6.71,small-vehicle,No,1.8
123768,2972,207.8,1348.76125,158.79,-2,2.50875,0.255,3.02,6.71,small-vehicle,No,1.9
123769,2972,207.9,1349.012125,158.78,-2,2.53425,0.255,3.02,6.71,small-vehicle,No,2.0
123770,2972,208.0,1349.26555,158.78,-2,2.55975,0.2525,3.02,6.71,small-vehicle,No,2.1
123771,2972,208.1,1349.521525,158.77,-2,2.585,0.2525,3.03,6.71,small-vehicle,No,2.2
123772,2972,208.2,1349.780025,158.77,-2,2.61025,0.255,3.03,6.71,small-vehicle,No,2.3
123773,2972,208.3,1350.04105,158.76,-2,2.63575,0.3025,3.03,6.71,small-vehicle,No,2.4
123774,2972,208.4,1350.304625,158.75,-2,2.666,0.2525,3.03,6.71,small-vehicle,No,2.5
123775,2972,208.5,1350.571225,158.75,-2,2.69125,0.2525,3.03,6.71,small-vehicle,No,2.6
123776,2972,208.6,1350.84035,158.74,-2,2.7165,0.3025,3.03,6.71,small-vehicle,No,2.7
123777,2972,208.7,1351.112,158.73,-2,2.74675,0.3025,3.04,6.71,small-vehicle,No,2.8
123778,2972,208.8,1351.386675,158.73,-2,2.777,0.2525,3.04,6.72,small-vehicle,No,2.9
123779,2972,208.9,1351.664375,158.72,-2,2.80225,0.2525,3.04,6.72,small-vehicle,No,3.0
123780,2972,209.0,1351.9446,158.71,-2,2.8275,0.3,3.04,6.72,small-vehicle,No,3.1
123781,2972,209.1,1352.22735,158.71,-2,2.8575,0.25,3.04,6.72,small-vehicle,No,3.2
123782,2972,209.2,1352.5131,158.7,-2,2.8825,0.2,3.05,6.72,small-vehicle,No,3.3
123783,2972,209.3,1352.80135,158.69,-2,2.9025,0.25,3.05,6.72,small-vehicle,No,3.4
123784,2972,209.4,1353.0916,158.68,-2,2.9275,0.2475,3.05,6.72,small-vehicle,No,3.5
123785,2972,209.5,1353.38435,158.67,-2,2.95225,0.1975,3.05,6.71,small-vehicle,No,3.6
123786,2972,209.6,1353.679575,158.67,-2,2.972,0.2,3.05,6.71,small-vehicle,No,3.7
123787,2972,209.7,1353.976775,158.66,-2,2.992,0.1975,3.05,6.71,small-vehicle,No,3.8
124914,3050,207.3,1337.05005,158.9,-2,2.393,-0.05,2.7,5.78,small-vehicle,No,1.4
124915,3050,207.4,1337.28935,158.89,-2,2.388,-0.05,2.7,5.78,small-vehicle,No,1.5
124916,3050,207.5,1337.52815,158.89,-2,2.383,-0.05,2.7,5.79,small-vehicle,No,1.6
124917,3050,207.6,1337.76645,158.89,-2,2.378,-0.05,2.71,5.8,small-vehicle,No,1.7
124918,3050,207.7,1338.00425,158.89,-2,2.373,-0.05,2.71,5.81,small-vehicle,No,1.8
124919,3050,207.8,1338.24155,158.88,-2,2.368,-2.27e-11,2.71,5.82,small-vehicle,No,1.9
124920,3050,207.9,1338.47835,158.88,-2,2.368,0.0,2.71,5.83,small-vehicle,No,2.0
124921,3050,208.0,1338.71515,158.88,-2,2.368,0.0025,2.72,5.84,small-vehicle,No,2.1
124922,3050,208.1,1338.95195,158.87,-2,2.36825,-0.0475,2.72,5.84,small-vehicle,No,2.2
124923,3050,208.2,1339.188775,158.87,-2,2.3635,-0.05,2.72,5.85,small-vehicle,No,2.3
124924,3050,208.3,1339.425125,158.87,-2,2.3585,0.0025,2.72,5.86,small-vehicle,No,2.4
124925,3050,208.4,1339.660975,158.87,-2,2.35875,0.0025,2.72,5.87,small-vehicle,No,2.5
124926,3050,208.5,1339.89685,158.86,-2,2.359,-2.27e-11,2.73,5.87,small-vehicle,No,2.6
124927,3050,208.6,1340.13275,158.86,-2,2.359,1.6e-11,2.73,5.88,small-vehicle,No,2.7
124928,3050,208.7,1340.36865,158.86,-2,2.359,-1.6e-11,2.73,5.89,small-vehicle,No,2.8
124929,3050,208.8,1340.60455,158.85,-2,2.359,0.0,2.73,5.9,small-vehicle,No,2.9
124930,3050,208.9,1340.84045,158.85,-2,2.359,0.0025,2.73,5.9,small-vehicle,No,3.0
124931,3050,209.0,1341.07635,158.85,-2,2.35925,0.0025,2.73,5.91,small-vehicle,No,3.1
124932,3050,209.1,1341.312275,158.84,-2,2.3595,-6.71e-12,2.73,5.92,small-vehicle,No,3.2
124933,3050,209.2,1341.548225,158.84,-2,2.3595,0.0525,2.74,5.93,small-vehicle,No,3.3
124934,3050,209.3,1341.784175,158.84,-2,2.36475,0.0525,2.74,5.94,small-vehicle,No,3.4
124935,3050,209.4,1342.02065,158.83,-2,2.37,0.0525,2.74,5.95,small-vehicle,No,3.5
124936,3050,209.5,1342.25765,158.83,-2,2.37525,0.055,2.74,5.96,small-vehicle,No,3.6
