,ID,time,xloc,yloc,lane,speed,acceleration,length-smoothed,width-smoothed,type-most-common,ACC,adjusted_time
66474,1008,257.0,1810.630325,162.49,-2,10.30325,-0.4025,3.6,5.98,small-vehicle,No,2.5
66475,1008,257.1,1811.66065,162.5,-2,10.263,-0.35,3.61,6.01,small-vehicle,No,2.6
66476,1008,257.2,1812.68695,162.51,-2,10.228,-0.35,3.61,6.03,small-vehicle,No,2.7
66477,1008,257.3,1813.70975,162.52,-2,10.193,-0.35,3.62,6.05,small-vehicle,No,2.8
66478,1008,257.4,1814.72905,162.53,-2,10.158,-0.3,3.62,6.07,small-vehicle,No,2.9
66479,1008,257.5,1815.74485,162.54,-2,10.128,-0.2975,3.62,6.08,small-vehicle,No,3.0
66480,1008,257.6,1816.75765,162.55,-2,10.09825,-0.2975,3.62,6.1,small-vehicle,No,3.1
66481,1008,257.7,1817.767475,162.55,-2,10.0685,-0.3,3.63,6.11,small-vehicle,No,3.2
66482,1008,257.8,1818.774325,162.56,-2,10.0385,-0.2975,3.63,6.11,small-vehicle,No,3.3
66483,1008,257.9,1819.778175,162.57,-2,10.00875,-0.2975,3.63,6.12,small-vehicle,No,3.4
98237,2290,255.6,1810.5926,162.78,-2,10.1775,-0.2975,3.22,5.32,small-vehicle,No,1.1
98238,2290,255.7,1811.61035,162.8,-2,10.14775,-0.2975,3.23,5.32,small-vehicle,No,1.2
98239,2290,255.8,1812.625125,162.81,-2,10.118,-0.2975,3.23,5.32,small-vehicle,No,1.3
98240,2290,255.9,1813.636925,162.83,-2,10.08825,-0.2975,3.23,5.32,small-vehicle,No,1.4
98241,2290,256.0,1814.64575,162.84,-2,10.0585,-0.2975,3.23,5.32,small-vehicle,No,1.5
98242,2290,256.1,1815.6516,162.86,-2,10.02875,-0.295,3.23,5.32,small-vehicle,No,1.6
98243,2290,256.2,1816.654475,162.87,-2,9.99925,-0.2475,3.23,5.33,small-vehicle,No,1.7
98244,2290,256.3,1817.6544,162.89,-2,9.9745,-0.1975,3.23,5.33,small-vehicle,No,1.8
98245,2290,256.4,1818.65185,162.9,-2,9.95475,-0.1925,3.23,5.33,small-vehicle,No,1.9
98246,2290,256.5,1819.647325,162.91,-2,9.9355,-0.1925,3.23,5.33,small-vehicle,No,2.0
