,ID,time,xloc,yloc,lane,speed,acceleration,length-smoothed,width-smoothed,type-most-common,ACC,adjusted_time
28410,85,75.3,1337.5358,158.76,-2,14.2695,-0.06,2.81,5.68,small-vehicle,No,1.3
28411,85,75.4,1338.96275,158.73,-2,14.2635,-0.06,2.81,5.68,small-vehicle,No,1.4
28412,85,75.5,1340.3891,158.71,-2,14.2575,-0.16,2.8,5.68,small-vehicle,No,1.5
28413,85,75.6,1341.81485,158.68,-2,14.2415,-0.16,2.8,5.68,small-vehicle,No,1.6
28414,85,75.7,1343.239,158.65,-2,14.2255,-0.1075,2.79,5.68,small-vehicle,No,1.7
28415,85,75.8,1344.66155,158.62,-2,14.21475,-0.1575,2.79,5.68,small-vehicle,No,1.8
28416,85,75.9,1346.083025,158.59,-2,14.199,-0.21,2.78,5.68,small-vehicle,No,1.9
28417,85,76.0,1347.502925,158.56,-2,14.178,-0.21,2.77,5.68,small-vehicle,No,2.0
28418,85,76.1,1348.920725,158.53,-2,14.157,-0.21,2.77,5.68,small-vehicle,No,2.1
28419,85,76.2,1350.336425,158.5,-2,14.136,-0.21,2.76,5.68,small-vehicle,No,2.2
28420,85,76.3,1351.750025,158.48,-2,14.115,-0.2575,2.76,5.68,small-vehicle,No,2.3
28421,85,76.4,1353.161525,158.45,-2,14.08925,-0.2575,2.75,5.68,small-vehicle,No,2.4
30280,91,77.4,1337.68045,159.01,-2,14.63575,0.0425,2.57,5.26,small-vehicle,No,3.4
30281,91,77.5,1339.144025,158.98,-2,14.64,0.0425,2.56,5.26,small-vehicle,No,3.5
30282,91,77.6,1340.608025,158.95,-2,14.64425,-0.005,2.56,5.26,small-vehicle,No,3.6
30283,91,77.7,1342.07245,158.92,-2,14.64375,-0.005,2.56,5.26,small-vehicle,No,3.7
30284,91,77.8,1343.536825,158.89,-2,14.64325,-0.055,2.55,5.26,small-vehicle,No,3.8
30285,91,77.9,1345.00115,158.86,-2,14.63775,-0.055,2.55,5.26,small-vehicle,No,3.9
30286,91,78.0,1346.464925,158.84,-2,14.63225,-0.0025,2.54,5.26,small-vehicle,No,4.0
30287,91,78.1,1347.92815,158.81,-2,14.632,-0.0025,2.54,5.26,small-vehicle,No,4.1
30288,91,78.2,1349.39135,158.78,-2,14.63175,-0.055,2.54,5.26,small-vehicle,No,4.2
30289,91,78.3,1350.854525,158.75,-2,14.62625,-0.055,2.53,5.26,small-vehicle,No,4.3
30290,91,78.4,1352.31715,158.73,-2,14.62075,-0.0025,2.53,5.26,small-vehicle,No,4.4
30291,91,78.5,1353.779225,158.7,-2,14.6205,-0.0525,2.53,5.26,small-vehicle,No,4.5
