,time,xloc
0,98.22351,1849.8
1,98.5411027586207,1849.2
2,98.85869551724139,1848.3
3,99.17628827586208,1847.4
4,99.49388103448277,1846.2
5,99.81147379310346,1845.3
6,100.12906655172414,1844.1
7,100.44665931034483,1843.2
8,100.76425206896552,1841.7
9,101.08184482758621,1841.1
10,101.3994375862069,1840.5
11,101.71703034482759,1839.6
12,102.03462310344828,1838.7
13,102.35221586206897,1837.8
14,102.66980862068966,1836.9
15,102.98740137931034,1836.0
16,103.30499413793103,1834.5
17,103.62258689655172,1833.6
18,103.94017965517241,1832.4
19,104.2577724137931,1831.5
20,104.5753651724138,1830.9
21,104.89295793103449,1829.7
22,105.21055068965518,1828.5
23,105.52814344827587,1828.2
24,105.84573620689656,1826.4
25,106.16332896551724,1825.5
26,106.48092172413793,1825.2
27,106.79851448275862,1823.7
28,107.11610724137931,1822.8
29,107.4337,1821.6
30,107.75129275862069,1821.0
31,108.06888551724138,1819.8
32,108.38647827586207,1818.6
33,108.70407103448277,1818.3
34,109.02166379310344,1817.7
35,109.33925655172413,1816.5
36,109.65684931034482,1816.2
37,109.97444206896552,1816.2
38,110.2920348275862,1815.6
39,110.6096275862069,1814.7
40,110.92722034482759,1813.8
41,111.24481310344828,1813.2
42,111.56240586206897,1812.6
43,111.87999862068966,1811.7
44,112.19759137931035,1811.4
45,112.51518413793103,1810.8
46,112.83277689655172,1811.1
47,113.15036965517241,1810.2
48,113.4679624137931,1809.3
49,113.7855551724138,1779.0
50,114.10314793103448,1778.4
51,114.42074068965518,1777.8
52,114.73833344827587,1777.5
53,115.05592620689654,1776.6
54,115.37351896551723,1776.6
55,115.69111172413793,1776.0
56,116.00870448275862,1775.7
57,116.32629724137931,1775.1
58,116.64389,1774.2
59,116.96148275862069,1775.4
60,117.27907551724138,1773.9
61,117.59666827586207,1773.3
62,117.91426103448276,1772.4
63,118.23185379310345,1772.1
64,118.54944655172415,1771.5
65,118.86703931034484,1771.5
66,119.18463206896551,1770.3
67,119.5022248275862,1769.1
68,119.8198175862069,1767.9
69,120.13741034482759,1767.6
70,120.45500310344828,1766.1
71,120.77259586206897,1765.5
72,121.09018862068966,1764.9
73,121.40778137931034,1764.3
74,121.72537413793103,1763.1
75,122.04296689655172,1762.5
76,122.36055965517241,1761.6
77,122.6781524137931,1760.7
78,122.99574517241379,1760.1
79,123.31333793103448,1758.3
80,123.63093068965517,1757.4
81,123.94852344827586,1756.5
82,124.26611620689656,1755.9
83,124.58370896551725,1754.4
84,124.90130172413794,1753.2
85,125.21889448275861,1752.3
86,125.5364872413793,1751.4
87,125.85408,1750.5
