ID,time,xloc,yloc,old_xloc,old_yloc,line_integral_values,maneuver
949,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2483.887675 2485.2824   2486.669675 2488.050025 2489.42295  2490.7884
 2492.146375 2493.496375 2494.83835  2496.1718   2497.496225 2498.8116
 2500.117925 2501.4152   2502.703425 2503.9821   2505.251225 2506.5108
 2507.760825 2509.0013   2510.23175  2511.452175 2512.662525 2513.8623
 2515.051    2516.2286   2517.3951   2518.55     2519.6928   2520.8235
 2521.941575 2523.047025 2524.139875 2525.21965  2526.28635  2527.33995
 2528.380475 2529.40795  2530.422375 2531.42375  2532.412075 2533.38735
 2534.3501   2535.30035  2536.2381   2537.163875 2538.0777   2538.97955
 2539.869925 2540.74885  2541.616325]","[-94.56 -94.49 -94.42 -94.34 -94.27 -94.19 -94.11 -94.03 -93.96 -93.88
 -93.8  -93.71 -93.63 -93.55 -93.46 -93.38 -93.29 -93.2  -93.11 -93.02
 -92.93 -92.84 -92.74 -92.65 -92.56 -92.46 -92.37 -92.27 -92.17 -92.08
 -91.98 -91.88 -91.78 -91.68 -91.59 -91.49 -91.39 -91.29 -91.2  -91.1
 -91.   -90.91 -90.81 -90.71 -90.61 -90.52 -90.42 -90.32 -90.23 -90.13
 -90.04]","[2483.887675 2485.2824   2486.669675 2488.050025 2489.42295  2490.7884
 2492.146375 2493.496375 2494.83835  2496.1718   2497.496225 2498.8116
 2500.117925 2501.4152   2502.703425 2503.9821   2505.251225 2506.5108
 2507.760825 2509.0013   2510.23175  2511.452175 2512.662525 2513.8623
 2515.051    2516.2286   2517.3951   2518.55     2519.6928   2520.8235
 2521.941575 2523.047025 2524.139875 2525.21965  2526.28635  2527.33995
 2528.380475 2529.40795  2530.422375 2531.42375  2532.412075 2533.38735
 2534.3501   2535.30035  2536.2381   2537.163875 2538.0777   2538.97955
 2539.869925 2540.74885  2541.616325]","[212.02 212.09 212.16 212.24 212.31 212.39 212.47 212.55 212.62 212.7
 212.78 212.87 212.95 213.03 213.12 213.2  213.29 213.38 213.47 213.56
 213.65 213.74 213.84 213.93 214.02 214.12 214.21 214.31 214.41 214.5
 214.6  214.7  214.8  214.9  214.99 215.09 215.19 215.29 215.38 215.48
 215.58 215.67 215.77 215.87 215.97 216.06 216.16 216.26 216.35 216.45
 216.54]",0.0,6
2150,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2652.86325  2653.40835  2653.94645  2654.478075 2655.003225 2655.521875
 2656.034025 2656.5397   2657.0389   2657.5316   2658.017775 2658.496925
 2658.96855  2659.432125 2659.88765  2660.3351   2660.774475 2661.2058
 2661.629075 2662.0438   2662.4505   2662.8497   2663.2409   2663.6246
 2664.001325 2664.3711   2664.734425 2665.0913   2665.441725 2665.7862
 2666.124725 2666.457325 2666.784525 2667.1068   2667.42415  2667.7366
 2668.044125 2668.3467   2668.644325 2668.936475 2669.2226   2669.502175
 2669.7747   2670.040175 2670.298575 2670.5499   2670.794175 2671.031425
 2671.2622   2671.487525 2671.707925]","[-70.88 -70.76 -70.64 -70.52 -70.4  -70.29 -70.17 -70.05 -69.94 -69.83
 -69.71 -69.6  -69.49 -69.38 -69.28 -69.17 -69.07 -68.96 -68.86 -68.76
 -68.66 -68.56 -68.46 -68.37 -68.27 -68.18 -68.08 -67.99 -67.9  -67.81
 -67.73 -67.64 -67.56 -67.47 -67.39 -67.31 -67.24 -67.16 -67.08 -67.01
 -66.94 -66.86 -66.79 -66.72 -66.65 -66.59 -66.52 -66.46 -66.39 -66.33
 -66.27]","[2652.86325  2653.40835  2653.94645  2654.478075 2655.003225 2655.521875
 2656.034025 2656.5397   2657.0389   2657.5316   2658.017775 2658.496925
 2658.96855  2659.432125 2659.88765  2660.3351   2660.774475 2661.2058
 2661.629075 2662.0438   2662.4505   2662.8497   2663.2409   2663.6246
 2664.001325 2664.3711   2664.734425 2665.0913   2665.441725 2665.7862
 2666.124725 2666.457325 2666.784525 2667.1068   2667.42415  2667.7366
 2668.044125 2668.3467   2668.644325 2668.936475 2669.2226   2669.502175
 2669.7747   2670.040175 2670.298575 2670.5499   2670.794175 2671.031425
 2671.2622   2671.487525 2671.707925]","[235.7  235.82 235.94 236.06 236.18 236.29 236.41 236.53 236.64 236.75
 236.87 236.98 237.09 237.2  237.3  237.41 237.51 237.62 237.72 237.82
 237.92 238.02 238.12 238.21 238.31 238.4  238.5  238.59 238.68 238.77
 238.85 238.94 239.02 239.11 239.19 239.27 239.34 239.42 239.5  239.57
 239.64 239.72 239.79 239.86 239.93 239.99 240.06 240.12 240.19 240.25
 240.31]",0.0,6
2247,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2619.139425 2619.761375 2620.370325 2620.9668   2621.551325 2622.123925
 2622.6851   2623.235375 2623.775275 2624.3053   2624.825975 2625.3378
 2625.840775 2626.335425 2626.82225  2627.30175  2627.774425 2628.240275
 2628.6998   2629.1535   2629.6019   2630.044975 2630.483225 2630.91715
 2631.34675  2631.772525 2632.19445  2632.613025 2633.02825  2633.440125
 2633.84915  2634.255825 2634.66065  2635.063625 2635.46525  2635.866025
 2636.26595  2636.665025 2637.06375  2637.4621   2637.85955  2638.256075
 2638.65165  2639.04575  2639.43785  2639.827925 2640.21545  2640.599925
 2640.98135  2641.359725 2641.73505 ]","[-77.63 -77.51 -77.39 -77.28 -77.16 -77.05 -76.94 -76.83 -76.72 -76.62
 -76.51 -76.41 -76.31 -76.2  -76.1  -76.   -75.9  -75.8  -75.7  -75.6
 -75.51 -75.41 -75.31 -75.21 -75.12 -75.02 -74.93 -74.84 -74.74 -74.65
 -74.56 -74.47 -74.38 -74.29 -74.2  -74.11 -74.02 -73.93 -73.84 -73.75
 -73.67 -73.58 -73.49 -73.4  -73.32 -73.23 -73.15 -73.06 -72.98 -72.89
 -72.81]","[2619.139425 2619.761375 2620.370325 2620.9668   2621.551325 2622.123925
 2622.6851   2623.235375 2623.775275 2624.3053   2624.825975 2625.3378
 2625.840775 2626.335425 2626.82225  2627.30175  2627.774425 2628.240275
 2628.6998   2629.1535   2629.6019   2630.044975 2630.483225 2630.91715
 2631.34675  2631.772525 2632.19445  2632.613025 2633.02825  2633.440125
 2633.84915  2634.255825 2634.66065  2635.063625 2635.46525  2635.866025
 2636.26595  2636.665025 2637.06375  2637.4621   2637.85955  2638.256075
 2638.65165  2639.04575  2639.43785  2639.827925 2640.21545  2640.599925
 2640.98135  2641.359725 2641.73505 ]","[228.95 229.07 229.19 229.3  229.42 229.53 229.64 229.75 229.86 229.96
 230.07 230.17 230.27 230.38 230.48 230.58 230.68 230.78 230.88 230.98
 231.07 231.17 231.27 231.37 231.46 231.56 231.65 231.74 231.84 231.93
 232.02 232.11 232.2  232.29 232.38 232.47 232.56 232.65 232.74 232.83
 232.91 233.   233.09 233.18 233.26 233.35 233.43 233.52 233.6  233.69
 233.77]",0.0,6
2390,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2700.409325 2700.6143   2700.8107   2700.999025 2701.1793   2701.35155
 2701.5158   2701.67255  2701.8223   2701.965075 2702.1014   2702.231275
 2702.3547   2702.472175 2702.5832   2702.687775 2702.786925 2702.88065
 2702.96895  2703.052325 2703.1313   2703.2064   2703.277625 2703.3455
 2703.411025 2703.474725 2703.537125 2703.598725 2703.660025 2703.72155
 2703.7838   2703.847775 2703.914    2703.982975 2704.0552   2704.1312
 2704.211475 2704.296475 2704.386175 2704.48005  2704.57805  2704.67965
 2704.784325 2704.892025 2705.002225 2705.1144   2705.22855  2705.3447
 2705.46335  2705.585025 2705.710275]","[-59.14 -59.09 -59.05 -59.   -58.96 -58.92 -58.88 -58.84 -58.81 -58.77
 -58.74 -58.7  -58.67 -58.64 -58.61 -58.58 -58.55 -58.52 -58.5  -58.47
 -58.44 -58.42 -58.39 -58.37 -58.34 -58.32 -58.29 -58.26 -58.24 -58.21
 -58.19 -58.16 -58.13 -58.11 -58.08 -58.05 -58.02 -57.99 -57.96 -57.92
 -57.89 -57.86 -57.82 -57.79 -57.75 -57.71 -57.67 -57.63 -57.59 -57.55
 -57.51]","[2700.409325 2700.6143   2700.8107   2700.999025 2701.1793   2701.35155
 2701.5158   2701.67255  2701.8223   2701.965075 2702.1014   2702.231275
 2702.3547   2702.472175 2702.5832   2702.687775 2702.786925 2702.88065
 2702.96895  2703.052325 2703.1313   2703.2064   2703.277625 2703.3455
 2703.411025 2703.474725 2703.537125 2703.598725 2703.660025 2703.72155
 2703.7838   2703.847775 2703.914    2703.982975 2704.0552   2704.1312
 2704.211475 2704.296475 2704.386175 2704.48005  2704.57805  2704.67965
 2704.784325 2704.892025 2705.002225 2705.1144   2705.22855  2705.3447
 2705.46335  2705.585025 2705.710275]","[247.44 247.49 247.53 247.58 247.62 247.66 247.7  247.74 247.77 247.81
 247.84 247.88 247.91 247.94 247.97 248.   248.03 248.06 248.08 248.11
 248.14 248.16 248.19 248.21 248.24 248.26 248.29 248.32 248.34 248.37
 248.39 248.42 248.45 248.47 248.5  248.53 248.56 248.59 248.62 248.66
 248.69 248.72 248.76 248.79 248.83 248.87 248.91 248.95 248.99 249.03
 249.07]",0.0,6
2449,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2665.96315  2666.5102   2667.047125 2667.573925 2668.09065  2668.5973
 2669.094375 2669.5819   2670.059375 2670.527325 2670.98575  2671.434125
 2671.8719   2672.297525 2672.709975 2673.1087   2673.4932   2673.8635
 2674.219625 2674.561625 2674.89005  2675.20595  2675.5104   2675.80445
 2676.0886   2676.3634   2676.629875 2676.888525 2677.139875 2677.384425
 2677.622175 2677.853625 2678.079275 2678.299625 2678.515175 2678.726425
 2678.933875 2679.137525 2679.33735  2679.533325 2679.725425 2679.9131
 2680.095825 2680.2736   2680.4464   2680.6142   2680.777    2680.934825
 2681.0877   2681.23615  2681.381175]","[-67.23 -67.1  -66.98 -66.86 -66.75 -66.63 -66.52 -66.4  -66.29 -66.19
 -66.08 -65.98 -65.88 -65.78 -65.69 -65.59 -65.5  -65.41 -65.33 -65.24
 -65.16 -65.08 -65.   -64.93 -64.85 -64.78 -64.71 -64.64 -64.57 -64.5
 -64.44 -64.37 -64.31 -64.25 -64.19 -64.13 -64.08 -64.02 -63.97 -63.91
 -63.86 -63.81 -63.76 -63.71 -63.66 -63.61 -63.57 -63.52 -63.47 -63.43
 -63.39]","[2665.96315  2666.5102   2667.047125 2667.573925 2668.09065  2668.5973
 2669.094375 2669.5819   2670.059375 2670.527325 2670.98575  2671.434125
 2671.8719   2672.297525 2672.709975 2673.1087   2673.4932   2673.8635
 2674.219625 2674.561625 2674.89005  2675.20595  2675.5104   2675.80445
 2676.0886   2676.3634   2676.629875 2676.888525 2677.139875 2677.384425
 2677.622175 2677.853625 2678.079275 2678.299625 2678.515175 2678.726425
 2678.933875 2679.137525 2679.33735  2679.533325 2679.725425 2679.9131
 2680.095825 2680.2736   2680.4464   2680.6142   2680.777    2680.934825
 2681.0877   2681.23615  2681.381175]","[239.35 239.48 239.6  239.72 239.83 239.95 240.06 240.18 240.29 240.39
 240.5  240.6  240.7  240.8  240.89 240.99 241.08 241.17 241.25 241.34
 241.42 241.5  241.58 241.65 241.73 241.8  241.87 241.94 242.01 242.08
 242.14 242.21 242.27 242.33 242.39 242.45 242.5  242.56 242.61 242.67
 242.72 242.77 242.82 242.87 242.92 242.97 243.01 243.06 243.11 243.15
 243.19]",0.0,6
2484,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2525.622    2526.78195  2527.9328   2529.074525 2530.206625 2531.329125
 2532.442025 2533.544825 2534.637525 2535.720125 2536.792625 2537.85455
 2538.9059   2539.946675 2540.9769   2541.997075 2543.0067   2544.0058
 2544.994875 2545.973925 2546.942975 2547.902025 2548.85105  2549.79005
 2550.71905  2551.63805  2552.54705  2553.446075 2554.335125 2555.214175
 2556.083225 2556.942775 2557.79285  2558.63345  2559.464575 2560.286225
 2561.0989   2561.9026   2562.697325 2563.482575 2564.25835  2565.02515
 2565.78295  2566.53175  2567.271575 2568.001925 2568.722775 2569.43465
 2570.13805  2570.832975 2571.518925]","[-91.07 -90.96 -90.86 -90.75 -90.64 -90.54 -90.43 -90.32 -90.21 -90.1
 -89.99 -89.88 -89.77 -89.66 -89.55 -89.44 -89.32 -89.21 -89.1  -88.98
 -88.87 -88.75 -88.64 -88.52 -88.41 -88.29 -88.18 -88.06 -87.95 -87.84
 -87.72 -87.61 -87.49 -87.38 -87.27 -87.16 -87.05 -86.94 -86.82 -86.71
 -86.6  -86.49 -86.38 -86.28 -86.17 -86.06 -85.95 -85.84 -85.74 -85.63
 -85.53]","[2525.622    2526.78195  2527.9328   2529.074525 2530.206625 2531.329125
 2532.442025 2533.544825 2534.637525 2535.720125 2536.792625 2537.85455
 2538.9059   2539.946675 2540.9769   2541.997075 2543.0067   2544.0058
 2544.994875 2545.973925 2546.942975 2547.902025 2548.85105  2549.79005
 2550.71905  2551.63805  2552.54705  2553.446075 2554.335125 2555.214175
 2556.083225 2556.942775 2557.79285  2558.63345  2559.464575 2560.286225
 2561.0989   2561.9026   2562.697325 2563.482575 2564.25835  2565.02515
 2565.78295  2566.53175  2567.271575 2568.001925 2568.722775 2569.43465
 2570.13805  2570.832975 2571.518925]","[215.51 215.62 215.72 215.83 215.94 216.04 216.15 216.26 216.37 216.48
 216.59 216.7  216.81 216.92 217.03 217.14 217.26 217.37 217.48 217.6
 217.71 217.83 217.94 218.06 218.17 218.29 218.4  218.52 218.63 218.74
 218.86 218.97 219.09 219.2  219.31 219.42 219.53 219.64 219.76 219.87
 219.98 220.09 220.2  220.3  220.41 220.52 220.63 220.74 220.84 220.95
 221.05]",0.0,6
2509,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2635.7527   2636.28765  2636.8142   2637.33235  2637.842625 2638.345525
 2638.84155  2639.331225 2639.814525 2640.29145  2640.763025 2641.22925
 2641.6901   2642.146075 2642.596675 2643.041875 2643.48215  2643.9175
 2644.34795  2644.774    2645.19565  2645.6129   2646.02675  2646.4372
 2646.84425  2647.2484   2647.64965  2648.048    2648.44345  2648.8365
 2649.22715  2649.6154   2650.001725 2650.38665  2650.7702   2651.15235
 2651.5336   2651.913925 2652.2933   2652.671225 2653.047175 2653.421125
 2653.79205  2654.1594   2654.52315  2654.8828   2655.23785  2655.5883
 2655.934675 2656.277    2656.6153  ]","[-74.66 -74.55 -74.44 -74.34 -74.23 -74.13 -74.02 -73.92 -73.82 -73.72
 -73.62 -73.52 -73.42 -73.32 -73.22 -73.13 -73.03 -72.93 -72.84 -72.74
 -72.65 -72.55 -72.46 -72.37 -72.27 -72.18 -72.09 -72.   -71.91 -71.81
 -71.72 -71.63 -71.54 -71.45 -71.36 -71.27 -71.18 -71.09 -71.01 -70.92
 -70.83 -70.74 -70.66 -70.57 -70.48 -70.4  -70.32 -70.23 -70.15 -70.07
 -69.99]","[2635.7527   2636.28765  2636.8142   2637.33235  2637.842625 2638.345525
 2638.84155  2639.331225 2639.814525 2640.29145  2640.763025 2641.22925
 2641.6901   2642.146075 2642.596675 2643.041875 2643.48215  2643.9175
 2644.34795  2644.774    2645.19565  2645.6129   2646.02675  2646.4372
 2646.84425  2647.2484   2647.64965  2648.048    2648.44345  2648.8365
 2649.22715  2649.6154   2650.001725 2650.38665  2650.7702   2651.15235
 2651.5336   2651.913925 2652.2933   2652.671225 2653.047175 2653.421125
 2653.79205  2654.1594   2654.52315  2654.8828   2655.23785  2655.5883
 2655.934675 2656.277    2656.6153  ]","[231.92 232.03 232.14 232.24 232.35 232.45 232.56 232.66 232.76 232.86
 232.96 233.06 233.16 233.26 233.36 233.45 233.55 233.65 233.74 233.84
 233.93 234.03 234.12 234.21 234.31 234.4  234.49 234.58 234.67 234.77
 234.86 234.95 235.04 235.13 235.22 235.31 235.4  235.49 235.57 235.66
 235.75 235.84 235.92 236.01 236.1  236.18 236.26 236.35 236.43 236.51
 236.59]",0.0,6
2592,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2569.923675 2570.960825 2571.98685  2573.001725 2574.00495  2574.996025
 2575.97445  2576.9397   2577.891775 2578.8302   2579.75445  2580.664525
 2581.55995  2582.440725 2583.306875 2584.1584   2584.995325 2585.817675
 2586.62595  2587.4202   2588.20095  2588.968725 2589.72355  2590.465925
 2591.196375 2591.9149   2592.622025 2593.318275 2594.003625 2594.678575
 2595.343625 2595.998775 2596.644025 2597.279375 2597.904825 2598.5209
 2599.1281   2599.726925 2600.3179   2600.90155  2601.478875 2602.050375
 2602.616075 2603.176475 2603.732075 2604.283375 2604.830375 2605.37355
 2605.9134   2606.449425 2606.9821  ]","[-86.43 -86.27 -86.12 -85.97 -85.82 -85.67 -85.52 -85.37 -85.22 -85.08
 -84.93 -84.79 -84.64 -84.5  -84.36 -84.22 -84.08 -83.94 -83.81 -83.67
 -83.54 -83.41 -83.28 -83.15 -83.02 -82.9  -82.77 -82.65 -82.53 -82.41
 -82.29 -82.17 -82.06 -81.94 -81.83 -81.72 -81.61 -81.5  -81.39 -81.29
 -81.18 -81.08 -80.97 -80.87 -80.77 -80.67 -80.57 -80.46 -80.36 -80.27
 -80.17]","[2569.923675 2570.960825 2571.98685  2573.001725 2574.00495  2574.996025
 2575.97445  2576.9397   2577.891775 2578.8302   2579.75445  2580.664525
 2581.55995  2582.440725 2583.306875 2584.1584   2584.995325 2585.817675
 2586.62595  2587.4202   2588.20095  2588.968725 2589.72355  2590.465925
 2591.196375 2591.9149   2592.622025 2593.318275 2594.003625 2594.678575
 2595.343625 2595.998775 2596.644025 2597.279375 2597.904825 2598.5209
 2599.1281   2599.726925 2600.3179   2600.90155  2601.478875 2602.050375
 2602.616075 2603.176475 2603.732075 2604.283375 2604.830375 2605.37355
 2605.9134   2606.449425 2606.9821  ]","[220.15 220.31 220.46 220.61 220.76 220.91 221.06 221.21 221.36 221.5
 221.65 221.79 221.94 222.08 222.22 222.36 222.5  222.64 222.77 222.91
 223.04 223.17 223.3  223.43 223.56 223.68 223.81 223.93 224.05 224.17
 224.29 224.41 224.52 224.64 224.75 224.86 224.97 225.08 225.19 225.29
 225.4  225.5  225.61 225.71 225.81 225.91 226.01 226.12 226.22 226.31
 226.41]",0.0,6
2636,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2550.9642   2552.0542   2553.1351   2554.2069   2555.269575 2556.322625
 2557.365575 2558.3984   2559.4211   2560.4332   2561.4347   2562.425575
 2563.404825 2564.372475 2565.329025 2566.273975 2567.207325 2568.1291
 2569.0388   2569.936425 2570.822475 2571.69695  2572.558875 2573.40825
 2574.245575 2575.07085  2575.884075 2576.685275 2577.474475 2578.252175
 2579.018375 2579.773075 2580.5168   2581.249575 2581.971375 2582.6822
 2583.382575 2584.073    2584.752975 2585.4225   2586.0821   2586.732275
 2587.373    2588.0043   2588.6267   2589.240175 2589.84525  2590.44245
 2591.03225  2591.614675 2592.189725]","[-89.07 -88.94 -88.81 -88.68 -88.54 -88.41 -88.28 -88.15 -88.02 -87.88
 -87.75 -87.62 -87.49 -87.36 -87.23 -87.09 -86.97 -86.84 -86.71 -86.58
 -86.46 -86.33 -86.2  -86.08 -85.96 -85.83 -85.71 -85.59 -85.47 -85.35
 -85.23 -85.11 -85.   -84.88 -84.76 -84.65 -84.54 -84.43 -84.32 -84.21
 -84.1  -83.99 -83.88 -83.78 -83.67 -83.57 -83.47 -83.36 -83.26 -83.16
 -83.06]","[2550.9642   2552.0542   2553.1351   2554.2069   2555.269575 2556.322625
 2557.365575 2558.3984   2559.4211   2560.4332   2561.4347   2562.425575
 2563.404825 2564.372475 2565.329025 2566.273975 2567.207325 2568.1291
 2569.0388   2569.936425 2570.822475 2571.69695  2572.558875 2573.40825
 2574.245575 2575.07085  2575.884075 2576.685275 2577.474475 2578.252175
 2579.018375 2579.773075 2580.5168   2581.249575 2581.971375 2582.6822
 2583.382575 2584.073    2584.752975 2585.4225   2586.0821   2586.732275
 2587.373    2588.0043   2588.6267   2589.240175 2589.84525  2590.44245
 2591.03225  2591.614675 2592.189725]","[217.51 217.64 217.77 217.9  218.04 218.17 218.3  218.43 218.56 218.7
 218.83 218.96 219.09 219.22 219.35 219.49 219.61 219.74 219.87 220.
 220.12 220.25 220.38 220.5  220.62 220.75 220.87 220.99 221.11 221.23
 221.35 221.47 221.58 221.7  221.82 221.93 222.04 222.15 222.26 222.37
 222.48 222.59 222.7  222.8  222.91 223.01 223.11 223.22 223.32 223.42
 223.52]",0.0,6
2841,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2507.590425 2508.798175 2509.996825 2511.1864   2512.3669   2513.538325
 2514.700175 2515.85245  2516.99515  2518.127775 2519.250325 2520.362775
 2521.46465  2522.555975 2523.636725 2524.7069   2525.767025 2526.816625
 2527.8557   2528.88475  2529.9038   2530.91285  2531.9124   2532.90245
 2533.8825   2534.852575 2535.813175 2536.764275 2537.7059   2538.63855
 2539.562225 2540.47695  2541.382725 2542.27955  2543.167925 2544.04835
 2544.92085  2545.785425 2546.64205  2547.490725 2548.33145  2549.1642
 2549.98845  2550.804225 2551.612025 2552.411325 2553.202125 2553.9844
 2554.75815  2555.5234   2556.279625]","[-92.75 -92.67 -92.59 -92.5  -92.41 -92.33 -92.24 -92.15 -92.06 -91.97
 -91.88 -91.79 -91.7  -91.61 -91.52 -91.42 -91.33 -91.23 -91.14 -91.04
 -90.94 -90.85 -90.75 -90.65 -90.55 -90.46 -90.36 -90.26 -90.16 -90.06
 -89.96 -89.86 -89.77 -89.67 -89.57 -89.47 -89.37 -89.27 -89.18 -89.08
 -88.98 -88.88 -88.78 -88.68 -88.58 -88.48 -88.38 -88.28 -88.19 -88.09
 -87.99]","[2507.590425 2508.798175 2509.996825 2511.1864   2512.3669   2513.538325
 2514.700175 2515.85245  2516.99515  2518.127775 2519.250325 2520.362775
 2521.46465  2522.555975 2523.636725 2524.7069   2525.767025 2526.816625
 2527.8557   2528.88475  2529.9038   2530.91285  2531.9124   2532.90245
 2533.8825   2534.852575 2535.813175 2536.764275 2537.7059   2538.63855
 2539.562225 2540.47695  2541.382725 2542.27955  2543.167925 2544.04835
 2544.92085  2545.785425 2546.64205  2547.490725 2548.33145  2549.1642
 2549.98845  2550.804225 2551.612025 2552.411325 2553.202125 2553.9844
 2554.75815  2555.5234   2556.279625]","[213.83 213.91 213.99 214.08 214.17 214.25 214.34 214.43 214.52 214.61
 214.7  214.79 214.88 214.97 215.06 215.16 215.25 215.35 215.44 215.54
 215.64 215.73 215.83 215.93 216.03 216.12 216.22 216.32 216.42 216.52
 216.62 216.72 216.81 216.91 217.01 217.11 217.21 217.31 217.4  217.5
 217.6  217.7  217.8  217.9  218.   218.1  218.2  218.3  218.39 218.49
 218.59]",0.0,6
