Vehicle_ID,ID,time,xloc,yloc,line_integral_values,maneuver
586,558,[4.3 4.4 4.5],[1585.35765 1586.13285 1586.90075],[158.3  158.32 158.34],0.8344342371129031,6
586,586,"[2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5 3.6 3.7 3.8 3.9
 4.  4.1 4.2 4.3 4.4 4.5]","[1585.61005  1586.295975 1586.98005  1587.662275 1588.343125 1589.0236
 1589.70375  1590.383575 1591.06355  1591.744175 1592.42595  1593.108875
 1593.79295  1594.47815  1595.16495  1595.85335  1596.54285  1597.233425
 1597.925025 1598.61715  1599.3093   1600.00195  1600.695075 1601.387675]","[158.06 158.08 158.1  158.12 158.13 158.15 158.17 158.19 158.2  158.22
 158.23 158.25 158.27 158.28 158.3  158.31 158.33 158.34 158.36 158.37
 158.39 158.4  158.42 158.43]",2.076249825548999,6
