Vehicle_ID,ID,time,xloc,yloc,line_integral_values,maneuver
83,82,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9]","[1818.947875 1819.44195  1819.9289   1820.40875  1820.882025 1821.34925
 1821.810975 1822.2688   1822.7259   1823.18755  1823.658975 1824.143825
 1824.645175 1825.164475 1825.701075 1826.25275  1826.815725 1827.385725
 1827.958475 1828.53025  1829.097425 1829.656925 1830.207225 1830.747325
 1831.27675  1831.795075 1832.3024   1832.79985  1833.28855  1833.7701  ]","[162.44 162.45 162.46 162.46 162.47 162.48 162.48 162.49 162.5  162.5
 162.51 162.51 162.52 162.52 162.53 162.53 162.53 162.54 162.54 162.54
 162.55 162.55 162.55 162.55 162.56 162.56 162.56 162.56 162.56 162.56]",0.004341812277620523,6
83,83,"[2.9 3.  3.1 3.2 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6
 4.7 4.8 4.9 5. ]","[1817.20445  1817.75145  1818.2893   1818.818575 1819.3398   1819.8525
 1820.357175 1820.854325 1821.343475 1821.824625 1822.298825 1822.76765
 1823.231625 1823.690725 1824.1444   1824.591575 1825.03065  1825.460075
 1825.879325 1826.2884   1826.687375 1827.077325]","[162.08 162.08 162.09 162.09 162.09 162.1  162.1  162.1  162.1  162.1
 162.1  162.1  162.1  162.1  162.1  162.09 162.09 162.1  162.1  162.1
 162.1  162.1 ]",1.802787212534185,6
