Vehicle_ID,ID,time,xloc,yloc,line_integral_values,maneuver
68,66,[4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ],"[1337.993325 1339.318525 1340.643225 1341.967425 1343.2906   1344.61275
 1345.9344   1347.25555 ]",[159.21 159.19 159.16 159.14 159.11 159.08 159.06 159.03],0.13752548089160332,6
68,68,[1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2.  2.1 2.2],"[1337.932075 1339.47585  1341.018975 1342.56045  1344.099775 1345.636925
 1347.1719   1348.704225 1350.2334   1351.759425 1353.2823  ]","[158.68 158.65 158.62 158.59 158.56 158.53 158.5  158.46 158.43 158.4
 158.37]",0.07516039503153471,6
