Vehicle_ID,ID,time,xloc,yloc,old_xloc,old_yloc,line_integral_values,maneuver
2841,2484,[3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ],"[30.72895  31.6113   32.506275 33.414375 34.335575 35.26985  36.2167
 37.176125 38.1486   39.1336   40.130625 41.13965  42.16065  43.193125
 44.23655 ]","[0.54184615 0.57184615 0.59184615 0.62184615 0.65184615 0.67184615
 0.70184615 0.73184615 0.75184615 0.78184615 0.81184615 0.84184615
 0.87184615 0.90184615 0.93184615]","[1600.72895  1601.6113   1602.506275 1603.414375 1604.335575 1605.26985
 1606.2167   1607.176125 1608.1486   1609.1336   1610.130625 1611.13965
 1612.16065  1613.193125 1614.23655 ]","[157.51 157.54 157.56 157.59 157.62 157.64 157.67 157.7  157.72 157.75
 157.78 157.81 157.84 157.87 157.9 ]",0.0,6
2841,2636,[0.  0.1 0.2 0.3],[56.3545   57.4422   58.534975 59.632775],[1.69184615 1.71184615 1.73184615 1.75184615],[1626.3545   1627.4422   1628.534975 1629.632775],[158.66 158.68 158.7  158.72],0.0,6
2841,2698,"[0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6
 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5 3.6 3.7]","[30.235625 31.220675 32.211225 33.2073   34.2084   35.2145   36.2261
 37.2432   38.2653   39.2924   40.3245   41.361575 42.403625 43.450675
 44.5027   45.5592   46.6202   47.6862   48.7572   49.8332   50.9147
 52.0012   53.092175 54.1876   55.286975 56.389775 57.495475 58.603575
 59.714075]","[1.09184615 1.11184615 1.13184615 1.16184615 1.18184615 1.21184615
 1.23184615 1.26184615 1.29184615 1.31184615 1.34184615 1.37184615
 1.40184615 1.42184615 1.45184615 1.48184615 1.51184615 1.54184615
 1.56184615 1.59184615 1.62184615 1.65184615 1.68184615 1.70184615
 1.73184615 1.76184615 1.79184615 1.81184615 1.84184615]","[1600.235625 1601.220675 1602.211225 1603.2073   1604.2084   1605.2145
 1606.2261   1607.2432   1608.2653   1609.2924   1610.3245   1611.361575
 1612.403625 1613.450675 1614.5027   1615.5592   1616.6202   1617.6862
 1618.7572   1619.8332   1620.9147   1622.0012   1623.092175 1624.1876
 1625.286975 1626.389775 1627.495475 1628.603575 1629.714075]","[158.06 158.08 158.1  158.13 158.15 158.18 158.2  158.23 158.26 158.28
 158.31 158.34 158.37 158.39 158.42 158.45 158.48 158.51 158.53 158.56
 158.59 158.62 158.65 158.67 158.7  158.73 158.76 158.78 158.81]",0.0,6
2841,2841,[4.7 4.8 4.9 5. ],[30.642975 31.297025 31.9532   32.61255 ],[0.11184615 0.12184615 0.14184615 0.16184615],[1600.642975 1601.297025 1601.9532   1602.61255 ],[157.08 157.09 157.11 157.13],0.0,6
