time,man,muX,muY,sigX,sigY
0.0,1,1800.706669330597,157.0007083415985,7.031163692474365,53.80105972290039
0.2,1,1801.3153796195984,156.9948711618781,3.427610158920288,21.801246643066406
0.4,1,1801.9553689956665,156.99379248172045,2.191624879837036,13.489907264709473
0.6,1,1802.6271345615387,156.99033557623625,1.6226390600204468,10.319798469543457
0.8,1,1803.401460647583,156.98649848252535,1.2324522733688354,8.25705337524414
1.0,1,1804.2808828353882,156.98272390663624,0.9537373781204224,6.861777305603027
1.2,1,1805.1067390441895,156.9793926998973,0.7632305026054382,5.894067764282227
1.4,1,1805.9806690216064,156.97590199112892,0.63320392370224,5.198661804199219
1.6,1,1806.8524188995361,156.97243424504995,0.5416294932365417,4.660702705383301
1.8,1,1807.7413854599,156.96900079399347,0.47411608695983887,4.224563121795654
2.0,1,1808.6276359558105,156.96563018858433,0.42182934284210205,3.8598124980926514
2.2,1,1809.5187501907349,156.96229451149702,0.3796919882297516,3.5588927268981934
2.4,1,1810.4388618469238,156.9592515155673,0.3442714810371399,3.314546585083008
2.6,1,1811.3865489959717,156.95656948536634,0.313687264919281,3.114435911178589
2.8,1,1812.3565120697021,156.95401921123266,0.28738507628440857,2.9461047649383545
3.0,1,1813.3585262298584,156.9515281394124,0.26514196395874023,2.7995853424072266
3.2,1,1814.3974466323853,156.9491914436221,0.24659371376037598,2.668046712875366
3.4,1,1815.4688682556152,156.94708912819624,0.23119163513183594,2.5480382442474365
3.6,1,1816.56396484375,156.9452242180705,0.2182459533214569,2.4374442100524902
3.8,1,1817.6738510131836,156.94356674700975,0.20706820487976074,2.3344547748565674
4.0,1,1818.7912101745605,156.94208677858114,0.19710439443588257,2.237517833709717
4.2,1,1819.9112358093262,156.94075474888086,0.18797221779823303,2.145465612411499
4.4,1,1821.0315208435059,156.93953792005777,0.17943175137043,2.057512044906616
4.6,1,1822.151512145996,156.93840000778437,0.17133955657482147,1.9731652736663818
4.8,1,1823.2719421386719,156.93730232864618,0.1636113077402115,1.8921340703964233
5.0,1,1824.394474029541,156.93620566278696,0.15619659423828125,1.8142495155334473
