,ID,time,xloc,yloc,lane,speed,acceleration,length-smoothed,width-smoothed,type-most-common,ACC
846,0,90.6,1127.505525,160.39,-2,12.3475,0.2525,2.76,5.67,small-vehicle,No
847,0,90.7,1128.740275,160.41,-2,12.37275,0.2525,2.76,5.67,small-vehicle,No
848,0,90.8,1129.97755,160.43,-2,12.398,0.3,2.76,5.67,small-vehicle,No
849,0,90.9,1131.21735,160.44,-2,12.428,0.3025,2.76,5.67,small-vehicle,No
850,0,91.0,1132.46015,160.46,-2,12.45825,0.3025,2.76,5.68,small-vehicle,No
851,0,91.1,1133.705975,160.47,-2,12.4885,0.3,2.76,5.68,small-vehicle,No
852,0,91.2,1134.954825,160.49,-2,12.5185,0.25,2.76,5.68,small-vehicle,No
853,0,91.3,1136.206675,160.5,-2,12.5435,0.25,2.76,5.68,small-vehicle,No
854,0,91.4,1137.461025,160.52,-2,12.5685,0.3,2.76,5.68,small-vehicle,No
855,0,91.5,1138.717875,160.53,-2,12.5985,0.25,2.76,5.68,small-vehicle,No
856,0,91.6,1139.977725,160.55,-2,12.6235,0.25,2.76,5.68,small-vehicle,No
857,0,91.7,1141.240075,160.56,-2,12.6485,0.3,2.76,5.68,small-vehicle,No
858,0,91.8,1142.504925,160.58,-2,12.6785,0.25,2.76,5.68,small-vehicle,No
859,0,91.9,1143.772775,160.59,-2,12.7035,0.2475,2.76,5.69,small-vehicle,No
3412,3,88.5,1128.0539,160.27,-2,12.02325,0.345,2.58,5.93,small-vehicle,No
3413,3,88.6,1129.256225,160.29,-2,12.05775,0.345,2.58,5.93,small-vehicle,No
3414,3,88.7,1130.462,160.3,-2,12.09225,0.395,2.58,5.93,small-vehicle,No
3415,3,88.8,1131.671225,160.32,-2,12.13175,0.345,2.58,5.93,small-vehicle,No
3416,3,88.9,1132.8844,160.33,-2,12.16625,0.295,2.58,5.93,small-vehicle,No
3417,3,89.0,1134.101025,160.34,-2,12.19575,0.345,2.57,5.92,small-vehicle,No
3418,3,89.1,1135.3206,160.36,-2,12.23025,0.345,2.57,5.92,small-vehicle,No
3419,3,89.2,1136.543625,160.37,-2,12.26475,0.295,2.57,5.92,small-vehicle,No
3420,3,89.3,1137.7701,160.38,-2,12.29425,0.295,2.57,5.91,small-vehicle,No
3421,3,89.4,1138.999525,160.4,-2,12.32375,0.3475,2.57,5.91,small-vehicle,No
3422,3,89.5,1140.2319,160.41,-2,12.3585,0.3475,2.57,5.91,small-vehicle,No
3423,3,89.6,1141.46775,160.42,-2,12.39325,0.2975,2.57,5.9,small-vehicle,No
3424,3,89.7,1142.707075,160.43,-2,12.423,0.35,2.57,5.9,small-vehicle,No
3425,3,89.8,1143.949375,160.44,-2,12.458,0.3475,2.57,5.89,small-vehicle,No
6114,52,81.2,1127.32385,160.79,-2,11.00225,0.695,2.45,5.24,small-vehicle,No
6115,52,81.3,1128.424075,160.79,-2,11.07175,0.6975,2.45,5.24,small-vehicle,No
6116,52,81.4,1129.53125,160.79,-2,11.1415,0.6475,2.45,5.24,small-vehicle,No
6117,52,81.5,1130.6454,160.79,-2,11.20625,0.645,2.45,5.24,small-vehicle,No
6118,52,81.6,1131.766025,160.79,-2,11.27075,0.645,2.45,5.24,small-vehicle,No
6119,52,81.7,1132.8931,160.78,-2,11.33525,0.595,2.45,5.24,small-vehicle,No
6120,52,81.8,1134.026625,160.78,-2,11.39475,0.595,2.45,5.25,small-vehicle,No
6121,52,81.9,1135.1661,160.78,-2,11.45425,0.5925,2.45,5.25,small-vehicle,No
